syl_len0,syl_len1,syl_len2,syl0,syl1,syl2,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,cv_ratio0,cv_ratio1,cv_ratio2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,comp_len,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_class0,syl_class1,syl_class2,onset_class0,onset_class1,onset_class2,koda_class0,koda_class1,koda_class2,nucleus_class0,nucleus_class1,nucleus_class2,syl_weight0,syl_weight1,syl_weight2,nomen,sylcnt,stress_class
2,3,4,Ab,bau,feld,eld,ab,N,VN,ø,acc,K,KC,KCC,KCCD,KCCDC,C,CC,KCC,CKCC,DCKCC,ø,VC,CVV,CVCC,1,0,3,1,0,2,0,1,1,1,2,1,2,101,101,211,2,3,2,1,KC,CD,CKCC,,C,C,C,,CC,K,D,K,1,1,2,T,3,antepaenultima
2,3,5,Ab,bau,recht,echt,ab,N,VN,ø,acc,K,KC,KCC,KCCD,KCCDC,C,CC,KCC,CKCC,DCKCC,ø,VC,CVV,CVCC,1,0,3,1,0,2,0,1,1,1,2,1,2,101,101,211,2,3,2,1,KC,CD,CKCC,,C,C,C,,CC,K,D,K,1,1,2,T,3,antepaenultima
2,3,3,ab,bei,$en,en,ab,V,PV,SS,acc,K,KC,KCC,KCCD,KCCDC,C,KC,CKC,DCKC,CDCKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,2,101,101,1101,2,3,2,1,KC,CD,CKC,,C,C,C,,C,K,D,K,1,1,0,F,3,antepaenultima
2,3,3,ab,bei,zen,en,ab,V,V,AS,acc,K,KC,KCC,KCCD,KCCDA,C,KC,AKC,DAKC,CDAKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,1,101,101,1101,2,3,2,1,KC,CD,AKC,,C,A,C,,C,K,D,K,1,1,0,F,3,antepaenultima
2,3,3,ab,bie,gen,en,ab,V,V,AS,acc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,1,101,101,1101,2,3,2,1,KC,CL,CKC,,C,C,C,,C,K,L,K,1,1,0,F,3,antepaenultima
2,3,3,ab,bil,den,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,111,1101,2,3,2,1,KC,CKC,CKC,,C,C,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,4,Ab,bil,dung,ung,ab,N,V,SA,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,111,1101,2,3,2,1,KC,CKC,CKC,,C,C,C,C,C,K,K,K,1,1,1,T,3,antepaenultima
2,3,3,ab,bim,sen,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,1101,1101,2,2,2,1,KC,CKC,CKC,,C,C,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,3,ab,bin,den,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,1101,1101,2,2,2,1,KC,CKC,CKC,,C,C,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,3,ab,bit,ten,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,101,1101,2,3,2,1,KC,CK,CKC,,C,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,2,Ab,bit,te,e,ab,N,V,SA,acc,K,KC,KCC,KCCK,KCCKC,K,CK,KCK,CKCK,CCKCK,ø,VC,CVC,CV,1,2,1,1,1,0,0,1,1,1,1,1,1,101,101,101,2,3,2,0,KC,CK,CK,,C,C,C,,,K,K,K,1,1,0,T,3,antepaenultima
2,3,3,ab,bla,sen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CCVV,CVC,1,1,2,1,0,1,0,2,1,1,2,1,1,101,111,1101,2,3,2,1,KC,CCL,CKC,,CC,C,C,,C,K,L,K,1,1,0,F,3,antepaenultima
2,4,3,ab,blas,sen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,111,1101,2,2,2,1,KC,CCK,CKC,,CC,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,4,4,ab,bl1t,tern,ern,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,CC,KCC,CKCC,KCKCC,ø,VC,CCVC,CVCC,1,3,3,1,1,2,0,2,1,1,1,1,1,101,111,1111,2,2,2,1,KC,CCK,CKCC,,CC,C,C,,CC,K,K,K,1,1,0,F,3,antepaenultima
2,4,3,ab,blen,den,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,CCKC,KCCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,1111,1101,2,2,2,1,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,5,5,Ab,blend,licht,icht,ab,N,VN,SS,acc,K,KC,KCC,KCCC,KCCCK,C,CC,KCC,CKCC,CCKCC,ø,VC,CCVCC,CVCC,1,4,3,1,2,2,0,2,1,1,1,1,2,101,1211,211,2,2,2,1,KC,CCKCC,CKCC,,CC,C,C,CC,CC,K,K,K,1,2,2,T,3,antepaenultima
2,4,3,ab,blit,zen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,AKC,KAKC,CKAKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,111,1101,2,3,2,1,KC,CCK,AKC,,CC,A,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,4,ab,blo,cken,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,111,1101,2,2,2,1,KC,CCK,CKC,,CC,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,5,3,Ab,br1nd,ler,er,ab,N,N,SA,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,CCKC,CCCKC,noacc,VC,CCVCC,CVC,1,4,2,1,2,1,0,2,1,1,1,1,1,101,1211,21,2,2,3,-1,KC,CCKCC,CKC,,CC,C,C,CC,C,K,K,K,1,2,0,T,3,antepaenultima
2,3,4,ab,bre,chen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,111,1101,2,2,2,1,KC,CCK,CKC,,CC,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,4,3,ab,brem,sen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,CCKC,KCCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,1111,1101,2,2,2,1,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,4,3,ab,bren,nen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,111,2001,2,2,2,1,KC,CCK,CKC,,CC,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,4,3,ab,brin,gen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,111,2001,2,3,2,1,KC,CCK,CKC,,CC,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,5,ab,br3,ckeln,eln,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,CC,KCC,CKCC,KCKCC,ø,VC,CCVC,CVCC,1,3,3,1,1,2,0,2,1,1,1,1,1,101,111,1111,2,2,2,1,KC,CCK,CKCC,,CC,C,C,,CC,K,K,K,1,1,0,F,3,antepaenultima
2,5,4,ab,bruch,reif,eif,ab,A,N,SA,acc,K,KC,KCC,KCCC,KCCCK,C,DC,CDC,CCDC,KCCDC,ø,VC,CCVC,CVVC,1,3,1,1,1,1,0,2,1,1,1,2,1,101,211,111,2,2,3,1,KC,CCKC,CDC,,CC,C,C,C,C,K,K,D,1,1,1,F,3,antepaenultima
2,3,3,ab,br2,hen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCL,C,KC,LKC,CLKC,CCLKC,ø,VC,CCVV,VC,1,1,1,1,0,1,0,2,0,1,2,1,1,101,111,1001,2,3,3,1,KC,CCL,KC,,CC,,C,,C,K,L,K,1,1,0,F,3,antepaenultima
2,2,4,ab,bu,chen,en,ab,V,V,AS,acc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,1,101,101,1101,2,3,2,1,KC,CL,CKC,,C,C,C,,C,K,L,K,1,1,0,F,3,antepaenultima
2,3,4,ab,b2r,sten,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,CCCKC,ø,VC,CVC,CCVC,1,2,3,1,1,1,0,1,2,1,1,1,1,101,111,1201,2,3,2,1,KC,CKC,CCKC,,C,CC,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,4,ab,che,cken,en,ab,V,V,AS,acc,K,KC,KCA,KCAK,KCAKC,C,KC,CKC,KCKC,AKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,101,1101,2,2,2,1,KC,AK,CKC,,A,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,2,4,ab,da,chen,en,ab,V,N,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,101,1101,2,2,2,1,KC,CK,CKC,,C,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,2,5,Ab,da,chung,ung,ab,N,V,SA,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,101,1101,2,2,2,1,KC,CK,CKC,,C,C,C,,C,K,K,K,1,1,1,T,3,antepaenultima
2,4,3,ab,damp,fen,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,AKC,CAKC,KCAKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,1101,1101,2,2,2,1,KC,CKC,AKC,,C,A,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,4,3,ab,d1mp,fen,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,AKC,CAKC,KCAKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,1101,1101,2,2,2,1,KC,CKC,AKC,,C,A,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,3,ab,dan,ken,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,1101,1101,2,2,2,1,KC,CKC,CKC,,C,C,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,4,Ab,dan,kung,ung,ab,N,V,SA,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,1101,1101,2,2,2,1,KC,CKC,CKC,,C,C,C,C,C,K,K,K,1,1,1,T,3,antepaenultima
2,2,4,ab,de,cken,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,101,1101,2,2,2,1,KC,CK,CKC,,C,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,2,4,Ab,de,cker,er,ab,N,V,SA,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,101,111,2,2,2,1,KC,CK,CKC,,C,C,C,,C,K,K,K,1,1,0,T,3,antepaenultima
2,2,5,Ab,de,ckung,ung,ab,N,V,SA,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,101,1101,2,2,2,1,KC,CK,CKC,,C,C,C,,C,K,K,K,1,1,1,T,3,antepaenultima
2,2,3,Ab,de,rit,it,ø,N,N,S,ø,K,KC,KCC,KCCL,KCCLC,C,LC,CLC,LCLC,CLCLC,ø,VC,CVV,CVVC,1,0,1,1,0,1,0,1,1,1,2,2,1,101,101,111,2,2,3,1,KC,CL,CLC,,C,C,C,,C,K,L,L,1,1,1,T,3,ultima
2,4,3,ab,dich,ten,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,201,1101,2,2,2,1,KC,CKC,CKC,,C,C,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,4,4,Ab,dich,tung,ung,ab,N,V,SA,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,201,1101,2,2,2,1,KC,CKC,CKC,,C,C,C,C,C,K,K,K,1,1,1,T,3,antepaenultima
2,3,3,ab,din,gen,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,101,2001,2,3,2,1,KC,CK,CKC,,C,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,4,3,ab,ding,bar,ar,ab,A,V,SA,acc,K,KC,KCC,KCCK,KCCKC,C,LC,CLC,CCLC,KCCLC,ø,VC,CVC,CVVC,1,2,1,1,1,1,0,1,1,1,1,2,1,101,1101,111,2,2,3,1,KC,CKC,CLC,,C,C,C,C,C,K,K,L,1,1,1,F,3,antepaenultima
2,2,3,Ab,do,men,en,ø,N,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,0,101,101,2001,2,2,2,1,KC,CL,CKC,,C,C,C,,C,K,L,K,1,1,0,T,3,paenultima
2,3,3,ab,dor,ren,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,101,1011,2,2,3,1,KC,CK,CKC,,C,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,4,3,ab,dr1n,gen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,111,2001,2,2,2,1,KC,CCK,CKC,,CC,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,3,ab,dre,hen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCL,C,KC,LKC,CLKC,CCLKC,ø,VC,CCVV,VC,1,1,1,1,0,1,0,2,0,1,2,1,1,101,111,1001,2,2,3,1,KC,CCL,KC,,CC,,C,,C,K,L,K,1,1,0,F,3,antepaenultima
2,3,5,ab,dre,schen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,111,1101,2,2,2,1,KC,CCK,CKC,,CC,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,4,4,ab,dros,seln,eln,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,CC,KCC,CKCC,KCKCC,ø,VC,CCVC,CVCC,1,3,3,1,1,2,0,2,1,1,1,1,1,101,111,1111,2,2,2,1,KC,CCK,CKCC,,CC,C,C,,CC,K,K,K,1,1,0,F,3,antepaenultima
2,3,4,ab,dr2,cken,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,111,1101,2,3,2,1,KC,CCK,CKC,,CC,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,4,ab,dru,cken,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,101,111,1101,2,3,2,1,KC,CCK,CKC,,CC,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,2,4,ab,du,cken,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,101,1101,2,3,2,1,KC,CK,CKC,,C,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,3,Ab,duk,tor,or,ø,N,R,SA,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,201,111,2,2,2,1,KC,CKC,CKC,,C,C,C,C,C,K,K,K,1,1,1,T,3,paenultima
2,2,3,ab,eb,ben,en,ab,V,V,AS,acc,K,KC,KCK,KCKC,KCKCK,C,KC,CKC,KCKC,CKCKC,ø,VC,VC,CVC,1,1,2,1,1,1,0,0,1,1,1,1,1,101,1,1101,2,4,2,1,KC,K,CKC,,,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,2,3,ab,ei,sen,en,ab,V,V,AS,acc,K,KC,KCD,KCDC,KCDCK,C,KC,CKC,DCKC,CDCKC,ø,VC,VV,CVC,1,0,2,1,0,1,0,0,1,1,2,1,1,101,1,1101,2,6,2,1,KC,D,CKC,,,C,C,,C,K,D,K,1,1,0,F,3,antepaenultima
1,4,4,A,bend,brot,ot,ø,N,NN,SS,ø,L,LC,LCK,LCKC,LCKCC,C,LC,CLC,CCLC,CCCLC,ø,VV,CVCC,CCVVC,0,3,1,0,2,1,0,1,2,2,1,2,2,1,1201,211,6,2,2,1,L,CKCC,CCLC,,C,CC,,CC,C,L,K,L,1,0,1,T,3,antepaenultima
1,4,5,A,bend,kleid,eid,ø,N,NN,SS,ø,L,LC,LCK,LCKC,LCKCC,C,DC,CDC,CCDC,CCCDC,ø,VV,CVCC,CCVVC,0,3,1,0,2,1,0,1,2,2,1,2,2,1,1201,211,6,2,2,1,L,CKCC,CCDC,,C,CC,,CC,C,L,K,D,1,0,1,T,3,antepaenultima
1,4,4,A,bend,kurs,urs,ø,N,NN,SS,ø,L,LC,LCK,LCKC,LCKCC,C,CC,KCC,CKCC,CCKCC,ø,VV,CVCC,CVCC,0,3,3,0,2,2,0,1,1,2,1,1,2,1,1201,211,6,2,2,1,L,CKCC,CKCC,,C,C,,CC,CC,L,K,K,1,0,2,T,3,antepaenultima
1,4,4,A,bend,land,and,ø,N,NN,SS,ø,L,LC,LCK,LCKC,LCKCC,C,CC,KCC,CKCC,CCKCC,ø,VV,CVCC,CVCC,0,3,3,0,2,2,0,1,1,2,1,1,2,1,1201,1111,6,2,2,1,L,CKCC,CKCC,,C,C,,CC,CC,L,K,K,1,0,2,T,3,antepaenultima
1,4,4,a,bend,lich,ich,ø,A,N,SA,ø,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,CCKC,CCCKC,noacc,VV,CVCC,CVC,0,3,2,0,2,1,0,1,1,2,1,1,1,1,1201,111,6,2,3,1,L,CKCC,CKC,,C,C,,CC,C,L,K,K,1,0,1,F,3,antepaenultima
1,4,4,A,bend,mahl,ahl,ø,N,NN,SS,ø,L,LC,LCK,LCKC,LCKCC,C,LC,CLC,CCLC,CCCLC,ø,VV,CVCC,CVVC,0,3,1,0,2,1,0,1,1,2,1,2,2,1,1201,1011,6,2,3,1,L,CKCC,CLC,,C,C,,CC,C,L,K,L,1,0,1,T,3,antepaenultima
1,4,3,A,bend,rot,ot,ø,N,NN,SS,ø,L,LC,LCK,LCKC,LCKCC,C,LC,CLC,CCLC,CCCLC,ø,VV,CVCC,CVVC,0,3,1,0,2,1,0,1,1,2,1,2,2,1,1201,111,6,2,2,1,L,CKCC,CLC,,C,C,,CC,C,L,K,L,1,0,1,T,3,antepaenultima
1,3,4,a,ber,mals,als,ø,ADV,N,ø,ø,L,LC,LCK,LCKC,LCKCC,C,CC,LCC,CLCC,CCLCC,ø,VV,CVC,CVVCC,0,2,1,0,1,2,0,1,1,2,1,2,1,1,111,1111,6,2,3,1,L,CKC,CLCC,,C,C,,C,CC,L,K,L,1,0,2,F,3,antepaenultima
1,3,4,A,ber,witz,itz,ø,N,N,AS,ø,L,LC,LCK,LCKC,LCKCC,A,KA,CKA,CCKA,KCCKA,ø,VV,CVC,CVC,0,2,2,0,1,1,0,1,1,2,1,1,1,1,111,201,6,2,2,1,L,CKC,CKA,,C,C,,C,A,L,K,K,1,0,1,T,3,antepaenultima
2,2,3,ab,es,sen,en,ab,V,V,AS,acc,K,KC,KCK,KCKC,KCKCK,C,KC,CKC,KCKC,CKCKC,ø,VC,VC,CVC,1,1,2,1,1,1,0,0,1,1,1,1,1,101,1,1101,2,4,2,1,KC,K,CKC,,,C,C,,C,K,K,K,1,1,0,F,3,antepaenultima
2,2,5,ab,fa,ckeln,eln,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,CC,KCC,CKCC,KCKCC,ø,VC,CVC,CVCC,1,2,3,1,1,2,0,1,1,1,1,1,1,101,101,1111,2,2,2,1,KC,CK,CKCC,,C,C,C,,CC,K,K,K,1,1,0,F,3,antepaenultima
2,2,4,ab,f1,deln,eln,ab,V,V,AS,acc,K,KC,KCC,KCCL,KCCLC,C,CC,KCC,CKCC,LCKCC,ø,VC,CVV,CVCC,1,0,3,1,0,2,0,1,1,1,2,1,1,101,101,1111,2,2,2,1,KC,CL,CKCC,,C,C,C,,CC,K,L,K,1,1,0,F,3,antepaenultima
