syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl0,syl1,syl2,syl3,syl4,syl5,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,rhyme5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,syl_class5,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,onset_class5,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,koda_class5,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,nucleus_class5,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,nomen,sylcnt,stress_class
1,3,2,5,3,2,A,bon,ne,ments,kar,te,e,ø,N,NN,SAS,ø,K,KC,KCK,KCKC,KCKCK,K,CK,CCK,KCCK,CKCCK,ø,VC,CVC,CV,CVVC,CVC,CV,1,2,1,1,2,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,2,1,101,1001,1101,111,101,4,2,3,2,2,2,1,K,CK,CK,CNC,CKC,CK,,C,C,C,C,C,,,,C,C,,K,K,K,N,K,K,1,1,0,1,1,0,T,6,antepaenultima
2,3,2,3,4,3,ab,pho,to,gra,phie,ren,en,ab,V,V,AS,acc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CCVC,CVV,CVC,1,0,0,3,0,2,1,0,0,1,0,1,0,1,1,2,1,1,1,2,2,1,2,1,1,101,101,101,111,101,1011,2,2,2,2,3,3,1,KC,CL,CL,CCK,CL,CKC,,C,C,CC,C,C,C,,,,,C,K,L,L,K,L,K,1,1,1,1,1,0,F,6,prima
2,3,2,2,3,3,ab,qua,li,fi,zie,ren,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,LCKC,ALCKC,ø,VC,CCVC,CVV,CVV,CVV,CVC,1,3,0,0,0,2,1,1,0,0,0,1,0,2,1,1,1,1,1,1,2,2,2,1,1,101,201,11,101,101,1011,2,2,4,3,3,3,1,KC,CCK,CL,CL,AL,CKC,,CC,C,C,A,C,C,,,,,C,K,K,L,L,L,K,1,1,1,1,1,0,F,6,prima
2,2,6,3,2,4,Ab,r2,stungs,kon,fe,renz,enz,ab,N,NN,SAS,acc,K,KC,KCC,KCCK,KCCKC,A,CA,KCA,CKCA,LCKCA,ø,VC,CVC,CVCC,CVC,CVV,CVCC,1,2,3,2,0,3,1,1,2,1,0,2,0,1,1,1,1,1,1,1,1,1,2,1,2,101,111,1201,1101,101,1111,2,3,2,2,2,2,1,KC,CKC,CKCC,CKC,CL,CKCA,,C,C,C,C,C,C,C,CC,C,,CA,K,K,K,K,L,K,1,1,2,1,1,2,T,6,prima
2,2,2,2,2,2,Ab,so,lu,to,ri,um,um,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,LKC,CLKC,LCLKC,ø,VC,CVV,CVV,CVV,CVV,VC,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,2,2,2,2,1,1,101,101,11,101,11,1001,2,2,4,2,4,3,1,KC,CL,CL,CL,CL,KC,,C,C,C,C,,C,,,,,C,K,L,L,L,L,K,1,1,1,1,1,1,T,6,antepaenultima
2,4,5,2,3,3,Ab,stim,mungs,er,geb,nis,is,ab,N,NN,SAS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,CCKC,LCCKC,noacc,VC,CCVC,CVCC,VC,CVVC,CVC,1,3,3,1,1,2,1,1,2,1,1,1,0,2,1,0,1,1,1,1,1,1,2,1,2,101,201,2101,11,201,1101,2,2,2,3,2,2,1,KC,CCK,CKCC,KC,CLC,CKC,,CC,C,,C,C,C,,CC,C,C,C,K,K,K,K,L,K,1,1,2,1,1,1,T,6,prima
4,3,2,1,3,3,acht,mil,li,o,nen,mal,al,ø,ADV,ø,SAS,ø,K,KC,KCC,KCCC,KCCCL,C,LC,CLC,CCLC,KCCLC,ø,VCC,CVV,CVV,VV,CVC,CVVC,2,0,0,0,2,1,2,0,0,0,1,1,0,1,1,0,1,1,1,2,2,2,1,2,2,201,1001,11,1,2001,1011,2,3,4,4,2,3,1,KCC,CL,CL,L,CKC,CLC,,C,C,,C,C,CC,,,,C,C,K,L,L,L,K,L,2,1,1,1,0,1,F,6,sekunda
4,2,3,3,2,3,Acht,zy,lin,der,mo,tor,or,ø,N,NN,SS,ø,K,KC,KCC,KCCA,KCCAL,C,KC,CKC,LCKC,CLCKC,ø,VCC,CVV,CVC,CVC,CVV,CVC,2,0,2,2,0,2,2,0,1,1,0,1,0,1,1,1,1,1,1,2,1,1,2,1,2,201,101,1011,111,1001,111,2,3,3,2,3,2,1,KCC,AL,CKC,CKC,CL,CKC,,A,C,C,C,C,CC,,C,C,,C,K,L,K,K,L,K,2,1,1,0,1,1,T,6,prima
2,2,2,2,2,2,Ad,ju,di,ka,ti,on,on,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,LLC,ALLC,KALLC,ø,VC,CVV,CVV,CVC,CVV,VVC,1,0,0,2,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,2,2,1,2,2,1,101,2,101,101,101,1001,2,4,3,2,3,3,1,KC,CL,CL,CK,AL,LC,,C,C,C,A,,C,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,2,2,4,2,2,Ad,mi,ni,stra,ti,on,on,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,LLC,ALLC,KALLC,ø,VC,CVV,CVC,CCVC,CVV,VVC,1,0,2,3,0,0,1,0,1,1,0,1,0,1,1,2,1,0,1,2,1,1,2,2,1,101,1001,1101,111,101,1001,2,3,2,2,3,3,1,KC,CL,CKC,CCK,AL,LC,,C,C,CC,A,,C,,C,,,C,K,L,K,K,L,L,1,1,1,1,1,1,T,6,ultima
1,4,4,2,4,2,A,dres,sier,ma,schi,ne,e,ø,N,VN,SS,ø,K,KC,KCC,KCCK,KCCKC,K,CK,LCK,CLCK,KCLCK,ø,VC,CCVC,CVVC,CVC,CVV,CV,1,3,1,2,0,1,1,1,1,1,0,0,0,2,1,1,1,1,1,1,2,1,2,1,2,1,111,111,1001,101,1001,4,2,3,3,3,3,1,K,CCK,CLC,CK,CL,CK,,CC,C,C,C,C,,,C,,,,K,K,L,K,L,K,1,1,1,1,1,0,T,6,undef
1,1,2,2,2,3,9,e,ro,dy,na,mik,ik,ø,N,R,SA,ø,K,KL,KLC,KLCL,KLCLC,C,KC,CKC,LCKC,CLCKC,noacc,V,VV,CVV,CVV,CVV,CVC,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,2,1,1,1,1,11,101,1001,1101,4,4,3,3,4,2,1,K,L,CL,CL,CL,CKC,,,C,C,C,C,,,,,,C,K,L,L,L,L,K,2,1,1,1,1,1,T,6,paenultima
1,1,2,2,2,5,1,e,ro,dy,na,misch,isch,ø,A,R,SA,ø,K,KL,KLC,KLCL,KLCLC,C,KC,CKC,LCKC,CLCKC,ø,V,VV,CVV,CVV,CVV,CVC,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,2,1,1,1,1,11,101,1001,1101,4,4,3,3,4,2,1,K,L,CL,CL,CL,CKC,,,C,C,C,C,,,,,,C,K,L,L,L,L,K,2,1,1,1,1,1,F,6,paenultima
1,1,2,2,3,3,9,e,ro,me,cha,nik,ik,ø,N,N,AS,ø,K,KL,KLC,KLCL,KLCLC,C,KC,CKC,LCKC,CLCKC,noacc,V,VV,CVV,CVV,CVV,CVC,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,2,1,1,1,1,11,1001,101,1101,4,4,3,3,3,2,1,K,L,CL,CL,CL,CKC,,,C,C,C,C,,,,,,C,K,L,L,L,L,K,2,1,1,1,1,1,T,6,paenultima
2,2,2,1,2,2,Af,fi,li,a,ti,on,on,ø,N,R,SA,ø,K,KC,KCL,KCLC,KCLCL,C,LC,LLC,ALLC,KALLC,ø,VC,CVV,CVV,VC,CVV,VVC,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,2,2,1,2,2,1,1,101,11,1,101,1001,4,3,4,4,3,3,1,K,CL,CL,K,AL,LC,,C,C,,A,,,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,3,2,2,2,2,Ag,glo,me,ra,ti,on,on,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,LLC,ALLC,KALLC,ø,VC,CCVV,CVV,CVC,CVV,VVC,1,1,0,2,0,0,1,0,0,1,0,1,0,2,1,1,1,0,1,2,2,1,2,2,1,1,111,1001,11,101,1001,4,2,3,3,3,3,1,K,CCL,CL,CK,AL,LC,,CC,C,C,A,,,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,3,2,2,2,2,Ag,glu,ti,na,ti,on,on,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,LLC,ALLC,KALLC,ø,VC,CCVV,CVV,CVC,CVV,VVC,1,1,0,2,0,0,1,0,0,1,0,1,0,2,1,1,1,0,1,2,2,1,2,2,1,1,111,101,1001,101,1001,4,3,3,3,3,3,1,K,CCL,CL,CK,AL,LC,,CC,C,C,A,,,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
1,2,2,2,2,3,A,ka,de,mi,ke,rin,in,ø,N,N,SA,ø,K,KC,KCK,KCKC,KCKCL,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVV,CVV,CV,CVC,1,2,0,0,1,2,1,1,0,0,0,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,101,101,1001,101,1011,4,2,2,3,2,3,1,K,CK,CL,CL,CK,CKC,,C,C,C,C,C,,,,,,C,K,K,L,L,K,K,1,1,1,1,0,1,T,6,undef
2,3,2,2,3,3,ak,kli,ma,ti,sie,ren,en,ø,V,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CCVV,CVC,CVV,CVV,CVC,1,1,2,0,0,2,1,0,1,0,0,1,0,2,1,1,1,1,1,2,1,2,2,1,1,1,111,1001,101,101,1011,4,3,3,3,3,3,1,K,CCL,CK,CL,CL,CKC,,CC,C,C,C,C,,,,,,C,K,L,K,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,3,2,2,3,4,Ak,kli,ma,ti,sie,rung,ung,ø,N,V,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CCVV,CVC,CVV,CVV,CVC,1,1,2,0,0,2,1,0,1,0,0,1,0,2,1,1,1,1,1,2,1,2,2,1,1,1,111,1001,101,101,1011,4,3,3,3,3,3,1,K,CCL,CK,CL,CL,CKC,,CC,C,C,C,C,,,,,,C,K,L,K,L,L,K,1,1,1,1,1,1,T,6,paenultima
2,3,2,2,2,2,Ak,kul,tu,ra,ti,on,on,ø,N,R,SA,ø,K,KC,KCK,KCKC,KCKCC,C,LC,LLC,ALLC,KALLC,ø,VC,CVC,CVV,CVC,CVV,VVC,1,2,0,2,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,2,1,2,2,1,1,111,101,11,101,1001,4,3,3,3,3,3,1,K,CKC,CL,CK,AL,LC,,C,C,C,A,,,C,,,,C,K,K,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,2,2,2,2,2,Ak,ku,mu,la,ti,on,on,ø,N,R,SA,ø,K,KC,KCL,KCLC,KCLCL,C,LC,LLC,ALLC,KALLC,ø,VC,CVV,CVV,CVC,CVV,VVC,1,0,0,2,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,2,2,1,2,2,1,1,101,1001,11,101,1001,4,3,3,3,3,3,1,K,CL,CL,CK,AL,LC,,C,C,C,A,,,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,2,2,3,2,4,Ak,ku,sa,tiv,ob,jekt,ekt,ø,N,NN,SS,ø,K,KC,KCL,KCLC,KCLCK,C,CC,KCC,CKCC,CCKCC,ø,VC,CVV,CVC,CVVC,VC,CVCC,1,0,2,1,1,3,1,0,1,1,1,2,0,1,1,1,0,1,1,2,1,2,1,1,2,1,101,101,201,101,202,4,3,2,2,2,2,1,K,CL,CK,CLC,KC,CKCC,,C,C,C,,C,,,,C,C,CC,K,L,K,L,K,K,1,1,1,1,1,2,T,6,prima
2,2,2,2,4,6,Ak,ti,en,ge,sell,schaft,aft,ø,N,NN,SAS,ø,K,KC,KCA,KCAL,KCALK,C,CC,KCC,CKCC,CCKCC,ø,VC,CVV,VC,CV,CVC,CVCC,1,0,1,1,2,3,1,0,1,0,1,2,0,1,0,1,1,1,1,2,1,1,1,1,2,101,101,1001,101,111,301,2,3,3,2,2,1,1,KC,AL,KC,CK,CKC,CKCC,,A,,C,C,C,C,,C,,C,CC,K,L,K,K,K,K,1,1,0,0,1,2,T,6,prima
2,2,2,2,2,3,Ak,ti,en,ka,pi,tal,al,ø,N,NN,SAS,ø,K,KC,KCA,KCAL,KCALK,C,LC,CLC,LCLC,CLCLC,ø,VC,CVV,VC,CVC,CVV,CVVC,1,0,1,2,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,2,1,1,2,2,2,101,101,1001,101,101,111,2,3,3,2,3,3,-1,KC,AL,KC,CK,CL,CLC,,A,,C,C,C,C,,C,,,C,K,L,K,K,L,L,1,1,0,1,1,1,T,6,prima
2,2,3,2,2,2,Ak,ti,ons,ra,di,us,us,ø,N,NN,SAS,ø,K,KC,KCA,KCAL,KCALL,C,KC,LKC,CLKC,LCLKC,ø,VC,CVV,VVCC,CVV,CVV,VC,1,0,1,0,0,1,1,0,2,0,0,1,0,1,0,1,1,0,1,2,2,2,2,1,2,101,101,1101,11,101,101,2,3,2,4,3,3,-1,KC,AL,LCC,CL,CL,KC,,A,,C,C,,C,,CC,,,C,K,L,L,L,L,K,1,1,2,1,1,1,T,6,undef
2,2,1,2,3,3,ak,tu,a,li,sie,ren,en,ø,V,R,SA,ø,K,KC,KCC,KCCL,KCCLK,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,VC,CVV,CVV,CVC,1,0,1,0,0,2,1,0,1,0,0,1,0,1,0,1,1,1,1,2,1,2,2,1,1,101,101,1,11,101,1011,2,3,4,4,3,3,1,KC,CL,K,CL,CL,CKC,,C,,C,C,C,C,,,,,C,K,L,K,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,2,2,2,2,2,Ak,ze,le,ra,ti,on,on,ø,N,R,SA,ø,K,KC,KCA,KCAL,KCALC,C,LC,LLC,ALLC,KALLC,ø,VC,CVV,CVV,CVC,CVV,VVC,1,0,0,2,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,2,2,1,2,2,1,101,101,11,11,101,1001,2,2,3,3,3,3,1,KC,AL,CL,CK,AL,LC,,A,C,C,A,,C,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,3,2,1,2,2,Ak,zen,tu,a,ti,on,on,ø,N,N,S,ø,K,KC,KCA,KCAK,KCAKC,C,LC,LLC,ALLC,KALLC,ø,VC,CVC,CVV,VC,CVV,VVC,1,2,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,2,1,2,2,1,101,1101,101,1,101,1001,2,2,3,4,3,3,1,KC,AKC,CL,K,AL,LC,,A,C,,A,,C,C,,,,C,K,K,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,3,2,2,1,3,Ak,zes,so,ri,e,t1t,1t,ø,N,R,SA,ø,K,KC,KCA,KCAK,KCAKC,C,LC,CLC,LCLC,LLCLC,ø,VC,CVC,CVV,CVV,VV,CVVC,1,2,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,2,2,2,2,1,101,101,101,11,1,201,2,2,2,4,4,2,1,KC,AK,CL,CL,L,CLC,,A,C,C,,C,C,,,,,C,K,K,L,L,L,L,1,1,1,1,1,1,T,6,ultima
1,2,1,2,2,2,A,li,e,na,ti,on,on,ø,N,R,SA,ø,K,KC,KCL,KCLL,KCLLC,C,LC,LLC,ALLC,KALLC,ø,VC,CVV,VV,CVC,CVV,VVC,1,0,0,2,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,2,2,1,2,2,1,1,11,1,1001,101,1001,4,4,4,3,3,3,1,K,CL,L,CK,AL,LC,,C,,C,A,,,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
1,2,3,2,2,2,A,li,men,ta,ti,on,on,ø,N,R,SA,ø,K,KC,KCL,KCLC,KCLCK,C,LC,LLC,ALLC,KALLC,ø,VC,CVV,CVC,CVC,CVV,VVC,1,0,2,2,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,2,1,1,2,2,1,1,11,2001,101,101,1001,4,4,2,2,3,3,1,K,CL,CKC,CK,AL,LC,,C,C,C,A,,,,C,,,C,K,L,K,K,L,L,1,1,1,1,1,1,T,6,ultima
2,2,2,2,2,3,Al,ko,ho,li,ke,rin,in,ø,N,N,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVV,CVV,CVV,CV,CVC,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,1,1,1,11,101,101,11,101,1011,3,2,2,4,2,3,1,KC,CL,CL,CL,CK,CKC,,C,C,C,C,C,C,,,,,C,K,L,L,L,K,K,1,1,1,1,0,1,T,6,undef
2,2,2,2,3,3,al,ko,ho,li,sie,ren,en,ø,V,N,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CVV,CVV,CVC,1,0,0,0,0,2,1,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,1,1,11,101,101,11,101,1011,3,2,2,4,3,3,1,KC,CL,CL,CL,CL,CKC,,C,C,C,C,C,C,,,,,C,K,L,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,2,2,2,3,4,Al,ko,ho,li,sie,rung,ung,ø,N,V,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CVV,CVV,CVC,1,0,0,0,0,2,1,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,1,1,11,101,101,11,101,1011,3,2,2,4,3,3,1,KC,CL,CL,CL,CL,CKC,,C,C,C,C,C,C,,,,,C,K,L,L,L,L,K,1,1,1,1,1,1,T,6,paenultima
2,2,2,2,3,3,al,le,go,ri,sie,ren,en,ø,V,N,SA,ø,K,KC,KCL,KCLC,KCLCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CVV,CVV,CVC,1,0,0,0,0,2,1,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,1,1,1,11,101,11,101,1011,4,3,2,4,3,3,1,K,CL,CL,CL,CL,CKC,,C,C,C,C,C,,,,,,C,K,L,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,4,2,3,2,5,al,lein,se,lig,ma,chend,end,ø,A,ø,SS,ø,K,KC,KCD,KCDC,KCDCC,C,CC,KCC,CKCC,KCKCC,ø,VC,CVVC,CVV,CVC,CVC,CVCC,1,1,0,2,2,3,1,1,0,1,1,2,0,1,1,1,1,1,1,2,2,1,1,1,2,1,1011,101,111,1001,1201,4,3,2,3,3,2,1,K,CDC,CL,CKC,CK,CKCC,,C,C,C,C,C,,C,,C,,CC,K,D,L,K,K,K,1,1,1,1,1,0,F,6,multa
2,4,2,3,3,3,Al,lein,un,ter,hal,ter,er,ø,N,ø,SSA,ø,K,KC,KCD,KCDC,KCDCK,C,KC,CKC,CCKC,KCCKC,ø,VC,CVVC,VC,CVC,CVC,CVC,1,1,1,2,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,2,1,1011,1001,111,111,111,4,3,3,2,2,2,-1,K,CDC,KC,CKC,CKC,CKC,,C,,C,C,C,,C,C,C,C,C,K,D,K,K,K,K,1,1,1,0,1,0,T,6,sekunda
2,3,3,3,3,3,Al,les,bes,ser,wis,ser,er,ø,N,ø,SS,ø,K,KC,KCK,KCKC,KCKCC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,CVC,CVC,CVC,1,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,111,101,111,101,111,4,2,2,2,3,2,1,K,CKC,CK,CKC,CK,CKC,,C,C,C,C,C,,C,,C,,C,K,K,K,K,K,K,1,0,1,0,1,0,T,6,multa
