syl_len0,syl_len1,syl_len2,syl_len3,syl0,syl1,syl2,syl3,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,comp_len,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,onset_class0,onset_class1,onset_class2,onset_class3,koda_class0,koda_class1,koda_class2,koda_class3,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,syl_weight0,syl_weight1,syl_weight2,syl_weight3,nomen,sylcnt,stress_class
3,3,3,2,Auf,bau,wil,le,e,auf,N,VN,ø,acc,D,DC,DCC,DCCD,DCCDC,K,CK,KCK,CKCK,DCKCK,ø,VVC,CVV,CVC,CV,0,0,2,1,1,0,1,0,0,1,1,1,2,2,1,1,2,101,101,101,11,3,3,3,3,-1,DC,CD,CK,CK,?,C,C,C,C,?,?,?,D,D,K,K,1,1,1,0,T,4,prima
3,3,3,4,Hee,res,lei,tung,ung,ø,N,NN,SAS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,DCKC,CDCKC,ø,CVV,CVC,CVV,CVC,0,2,0,2,0,1,0,1,1,1,1,1,2,1,2,1,2,101,111,11,1101,2,2,4,2,1,CL,CKC,CD,CKC,C,C,C,C,?,C,?,C,L,K,D,K,1,0,1,1,T,4,prima
3,2,4,3,ein,be,grei,fen,en,ein,V,V,AS,acc,D,DC,DCC,DCCK,DCCKC,C,KC,CKC,DCKC,CDCKC,ø,VVC,CV,CCVV,CVC,0,1,1,2,1,0,0,1,0,1,2,1,2,1,2,1,1,1001,101,111,1101,4,2,3,2,1,DC,CK,CCD,CKC,?,C,CC,C,C,?,?,C,D,K,D,K,1,0,1,0,F,4,prima
1,2,1,4,A,gi,o,teur,eur,ø,N,N,S,ø,K,KC,KCL,KCLL,KCLLC,C,LC,CLC,LCLC,LLCLC,ø,VC,CVV,VV,CVVC,1,0,0,1,1,0,0,1,0,1,0,1,1,2,2,2,1,1,101,1,111,4,3,4,2,1,K,CL,L,CLC,?,C,?,C,?,?,?,C,K,L,L,L,1,1,1,1,T,4,ultima
1,2,2,5,a,ni,ma,lisch,isch,ø,A,R,SA,ø,K,KC,KCL,KCLC,KCLCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CVC,1,0,0,2,1,0,0,1,0,1,1,1,1,2,2,1,1,1,1001,1001,111,4,3,4,3,1,K,CL,CL,CKC,?,C,C,C,?,?,?,C,K,L,L,K,1,1,1,1,F,4,antepaenultima
7,4,2,3,Schrift,stel,le,rei,ei,ø,N,N,SA,ø,C,CC,CCK,CCKC,CCKCC,D,CD,KCD,CKCD,KCKCD,acc,CCVCC,CCVC,CV,CVV,4,3,1,0,2,1,0,0,2,2,1,1,1,1,1,2,1,311,201,11,11,2,2,3,4,-1,CCKCC,CCK,CK,CD,CC,CC,C,C,CC,?,?,?,K,K,K,D,2,1,0,1,T,4,ultima
2,2,3,2,Zi,ga,ril,lo,o,ø,N,ø,ø,ø,A,AL,ALC,ALCK,ALCKC,L,CL,KCL,CKCL,KCKCL,ø,CVV,CVC,CVC,CVV,0,2,2,0,0,1,1,0,1,1,1,1,2,1,1,2,0,101,101,11,11,3,2,4,3,-1,AL,CK,CK,CL,A,C,C,C,?,?,?,?,L,K,K,L,1,1,1,1,T,4,paenultima
3,2,3,3,mit,be,nut,zen,en,mit,V,V,AS,acc,C,CK,CKC,CKCC,CKCCK,C,KC,AKC,KAKC,CKAKC,ø,CVC,CV,CVC,CVC,2,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1101,101,1001,1101,2,2,3,2,1,CKC,CK,CK,AKC,C,C,C,A,C,?,?,C,K,K,K,K,1,0,1,0,F,4,prima
3,2,3,3,sus,zi,pie,ren,en,ø,V,ø,ø,ø,C,CK,CKC,CKCA,CKCAL,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,CVV,CVC,2,0,0,2,1,0,0,1,1,1,1,1,1,2,2,1,0,201,101,101,1011,2,3,3,3,1,CKC,AL,CL,CKC,C,A,C,C,C,?,?,C,K,L,L,K,1,1,1,0,F,4,paenultima
3,2,2,3,Vis,ko,si,t1t,1t,ø,N,A,SA,ø,C,CK,CKC,CKCC,CKCCL,C,LC,CLC,LCLC,CLCLC,ø,CVC,CVV,CVV,CVVC,2,0,0,1,1,0,0,1,1,1,1,1,1,2,2,2,1,201,101,101,201,2,2,3,2,0,CKC,CL,CL,CLC,C,C,C,C,C,?,?,C,K,L,L,L,1,1,1,1,T,4,ultima
2,2,4,4,un,ab,ding,lich,ich,ø,A,V,ø,ø,K,KC,KCK,KCKC,KCKCC,C,KC,CKC,CCKC,KCCKC,noacc,VC,VC,CVC,CVC,1,1,2,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1001,101,1101,111,3,2,2,3,-1,KC,KC,CKC,CKC,?,?,C,C,C,C,C,C,K,K,K,K,1,1,1,1,F,4,paenultima
3,3,2,3,ein,hei,ra,ten,en,ein,V,V,AS,acc,D,DC,DCC,DCCD,DCCDC,C,KC,CKC,LCKC,CLCKC,ø,VVC,CVV,CVV,CVC,0,0,0,2,1,0,0,1,0,1,1,1,2,2,2,1,1,1001,101,11,1101,4,3,4,2,1,DC,CD,CL,CKC,?,C,C,C,C,?,?,C,D,D,L,K,1,1,1,0,F,4,prima
2,2,2,5,me,xi,ka,nisch,isch,ø,A,ø,ø,ø,C,CK,CKC,CKCC,CKCCL,C,KC,CKC,LCKC,CLCKC,ø,CVC,CCVV,CVV,CVC,2,1,0,2,1,0,0,1,1,2,1,1,1,2,2,1,0,1001,201,101,1101,3,2,3,2,1,CK,CCL,CL,CKC,C,CC,C,C,?,?,?,C,K,L,L,K,1,1,1,1,F,4,paenultima
2,2,2,4,Mi,li,ta,rist,ist,ø,N,N,SA,ø,C,CL,CLC,CLCL,CLCLC,C,CC,KCC,CKCC,KCKCC,acc,CVV,CVV,CVC,CVCC,0,0,2,3,0,0,1,2,1,1,1,1,2,2,1,1,1,1001,11,101,211,3,4,2,2,-1,CL,CL,CK,CKCC,C,C,C,C,?,?,?,CC,L,L,K,K,1,1,1,2,T,4,ultima
2,3,4,1,Au,gen,bra2,e,e,ø,N,NN,SAS,ø,D,DC,DCK,DCKC,DCKCC,K,DK,CDK,CCDK,CCCDK,ø,VV,CVC,CCVV,V,0,2,1,0,0,1,0,0,0,1,2,0,2,1,2,1,2,1,1101,111,1,6,2,3,4,-1,D,CKC,CCD,K,?,C,CC,?,?,C,?,?,D,K,D,K,1,0,1,0,T,4,prima
3,3,4,3,h1n,del,s2ch,tig,ig,ø,A,NA,SS,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,noacc,CVC,CVC,CVC,CVC,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1101,111,201,201,2,2,2,2,-1,CKC,CKC,CKC,CKC,C,C,C,C,C,C,C,C,K,K,K,K,1,0,1,1,F,4,prima
4,3,3,2,pfen,nig,wei,se,e,ø,ADV,N,SA,ø,A,AK,AKC,AKCK,AKCKC,K,CK,DCK,CDCK,CCDCK,ø,CVC,CVC,CVV,CV,2,2,0,1,1,1,0,0,1,1,1,1,1,1,2,1,1,101,1101,101,101,2,2,3,2,-1,AK,CKC,CD,CK,A,C,C,C,?,C,?,?,K,K,D,K,1,1,1,0,F,4,prima
3,2,3,3,tre,mu,lie,ren,en,ø,V,ø,ø,ø,C,CC,CCL,CCLC,CCLCL,C,KC,CKC,LCKC,CLCKC,ø,CCVV,CVV,CVV,CVC,1,0,0,2,0,0,0,1,2,1,1,1,2,2,2,1,0,111,1001,11,1011,2,3,4,3,1,CCL,CL,CL,CKC,CC,C,C,C,?,?,?,C,L,L,L,K,1,1,1,0,F,4,paenultima
1,2,3,3,A,ma,ryl,lis,is,ø,N,N,S,ø,K,KC,KCK,KCKC,KCKCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,CVC,1,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1001,11,111,4,3,4,3,-1,K,CK,CK,CKC,?,C,C,C,?,?,?,C,K,K,K,K,1,1,1,1,T,4,paenultima
3,3,2,3,rau,pen,ar,tig,ig,ø,A,NN,ø,ø,C,CD,CDC,CDCK,CDCKC,C,KC,CKC,CCKC,LCCKC,noacc,CVV,CVC,VVC,CVC,0,2,0,2,0,1,1,1,1,1,0,1,2,1,2,1,2,11,1101,11,201,4,2,4,2,-1,CD,CKC,LC,CKC,C,C,?,C,?,C,C,C,D,K,L,K,1,0,1,1,F,4,prima
1,3,4,4,2,ber,wend,lich,ich,ueber,A,V,SA,acc,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,CCKC,CCCKC,noacc,VV,CVC,CVCC,CVC,0,2,3,2,0,1,2,1,0,1,1,1,2,1,1,1,1,1,111,1201,111,5,2,2,3,1,L,CKC,CKCC,CKC,?,C,C,C,?,C,CC,C,L,K,K,K,1,0,2,1,F,4,paenultima
