syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_open7,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,syl_phoncat7,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,onset_phoncat7,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,koda_phoncat7,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,nucleus_phoncat7,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,syl_cv7,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,pos,comp_struct,nomen,comp_len,Word,stress_class
ben,ø,n,en,ben,iben,eiben,C,KC,CKC,DCKC,CDCKC,ø,Re,ø,R,Re,Rek,Reko,Rekom,C,CL,CLC,CLCK,CLCKC,ø,10,7,12,7,9,10,15,10,5,3,4,3,4,3,5,3,0,light,light,light,light,light,heavy,light,schwa,o,c,c,c,o,c,o,c,CL,CK,CKC,CK,AL,LCC,CCD,CKC,C,C,C,C,A,,CC,C,,,C,,,CC,,C,L,K,K,K,L,L,D,K,2,3,3,2,2,3,6,3,0,1,1,1,0,2,0,1,1,1,1,1,1,0,2,1,2,1,1,1,2,2,2,1,CVV,CVC,CVC,CVC,CVV,VVCC,CCVV,CVC,0,2,2,2,0,1,1,2,N,NN,T,2,Rekommandationsschreiben,antepaenultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Schau,ø,S,Sc,Sch,Scha,Schau,C,CD,CDC,CDCK,CDCKC,ø,11,10,12,7,7,10,9,9,5,3,3,3,3,5,4,4,-1,light,light,schwa,light,light,light,light,light,o,c,c,o,o,c,o,c,CD,CKC,CCKC,CL,CL,CK,AL,LC,C,C,CC,C,C,C,A,,,C,C,,,,,C,D,K,K,L,L,K,L,L,5,3,4,2,2,2,2,2,0,1,1,0,0,1,0,1,1,1,2,1,1,1,1,0,2,1,1,2,2,1,2,2,CVV,CVC,CCVC,CVV,CVV,CVC,CVV,VVC,0,2,3,0,0,2,0,0,N,NN,T,2,Schaufensterdekoration,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Se,ø,S,Se,Ser,Seri,Serie,C,CL,CLC,CLCL,CLCLK,ø,7,12,9,7,13,7,9,9,3,6,4,3,4,3,4,4,0,light,light,schwa,light,light,light,light,light,o,o,c,c,o,c,o,c,CL,CL,KC,CK,CCL,CK,AL,LC,C,C,,C,CC,C,A,,,,C,,,,,C,L,L,K,K,L,K,L,L,2,2,2,2,3,2,2,2,0,0,1,1,0,1,0,1,1,1,0,1,2,1,1,0,2,2,1,1,2,1,2,2,CVV,CVV,VC,CVC,CCVV,CVC,CVV,VVC,0,0,1,2,1,2,0,0,N,NN,T,2,Serienfabrikation,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Spit,ø,S,Sp,Spi,Spit,Spitz,C,CC,CCK,CCKA,CCKAK,ø,10,10,10,7,11,7,9,9,3,3,5,3,5,3,4,4,-1,light,schwa,light,light,light,light,light,light,c,c,c,c,o,c,o,c,CCK,AKC,KC,CK,CL,CK,AL,LC,CC,A,,C,C,C,A,,,C,C,,,,,C,K,K,K,K,L,K,L,L,4,3,2,2,2,2,2,2,1,1,1,1,0,1,0,1,2,1,0,1,1,1,1,0,1,1,1,1,2,1,2,2,CCVC,CVC,VC,CVC,CVV,CVC,CVV,VVC,3,2,1,2,0,2,0,0,N,NN,T,2,Spitzenorganisation,prima
lung,ø,g,ng,ung,lung,mlung,C,KC,CKC,CCKC,KCCKC,ø,Stadt,ø,S,St,Sta,Stad,Stadt,C,CC,CCK,CCKC,CCKCC,ø,9,11,11,9,10,11,7,18,2,3,3,4,3,3,3,4,0,light,light,heavy,schwa,schwa,light,light,light,c,c,c,o,c,c,c,c,CCKC,CKC,KCC,CK,CKC,CKC,CK,CCKC,CC,C,,C,C,C,C,CC,C,C,CC,,C,C,,C,K,K,K,K,K,K,K,K,5,3,3,2,3,3,4,4,1,1,2,0,1,1,1,1,2,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,CCVC,CVC,VCC,CV,CVC,CVC,CVC,CCVC,3,2,2,1,2,2,2,3,N,NV,T,2,Stadtverordnetenversammlung,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,The,ø,T,Th,The,Thea,Theat,C,CL,CLL,CLLC,CLLCK,ø,7,10,11,7,7,10,9,9,3,10,3,3,3,5,4,4,0,light,light,schwa,light,light,light,light,light,o,o,c,o,o,c,o,c,CL,L,CKC,CL,CL,CK,AL,LC,C,,C,C,C,C,A,,,,C,,,,,C,L,L,K,L,L,K,L,L,3,1,3,2,2,2,2,2,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,2,2,1,2,2,1,2,2,CVV,VV,CVC,CVV,CVV,CVC,CVV,VVC,0,0,2,0,0,2,0,0,N,NN,T,2,Theaterdekoration,sekunda
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,8,ø,U,Ue,Ueb,Uebe,Ueber,L,LC,LCK,LCKC,LCKCK,ø,8,11,10,7,11,7,9,9,8,3,5,3,5,3,4,4,-1,light,schwa,light,light,light,light,light,light,o,c,c,c,o,c,o,c,L,CKC,KC,CK,CL,CK,AL,LC,,C,,C,C,C,A,,,C,C,,,,,C,L,K,K,K,L,K,L,L,1,3,2,2,2,2,2,2,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,2,1,1,1,2,1,2,2,VV,CVC,VC,CVC,CVV,CVC,CVV,VVC,0,2,1,2,0,2,0,0,N,PN,T,2,Ueberorganisation,prima
ger,ø,r,er,ger,nger,enger,C,KC,CKC,KCKC,AKCKC,ø,Ul,ø,U,Ul,Ult,Ultr,Ultra,K,KC,KCC,KCCC,KCCCL,ø,12,15,14,7,13,9,7,13,6,5,3,3,4,4,3,4,-1,light,light,heavy,light,schwa,light,light,schwa,c,o,c,c,c,c,c,c,KC,CCL,CKCA,CK,CKC,KC,AK,CKC,,CC,C,C,C,,A,C,C,,CA,,C,C,,C,K,L,K,K,K,K,K,K,2,3,4,3,3,3,3,3,1,0,2,1,1,1,1,1,0,2,1,1,1,0,1,1,1,2,1,1,1,1,1,1,VC,CCVV,CVCC,CVC,CVC,VC,CVC,CVC,1,1,3,2,2,1,2,2,N,NV,T,2,Ultrakurzwellenempfaenger,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Un,ø,U,Un,Unb,Unbe,Unbes,K,KC,KCC,KCCK,KCCKC,ø,11,7,14,12,10,10,9,9,5,3,2,4,5,5,4,4,-1,light,schwa,heavy,light,light,light,light,light,c,o,c,c,o,c,o,c,KC,CK,CCKCC,CDA,CL,CK,AL,LC,,C,CC,C,C,C,A,,C,,CC,A,,,,C,K,K,K,D,L,K,L,L,2,2,6,5,2,2,2,2,1,0,2,1,0,1,0,1,0,1,2,1,1,1,1,0,1,1,1,2,2,1,2,2,VC,CV,CCVCC,CVVC,CVV,CVC,CVV,VVC,1,1,4,1,0,2,0,0,N,NN,T,2,Unbestimmtheitsrelation,prima
rat,ø,t,at,rat,arat,parat,C,LC,CLC,KCLC,CKCLC,ø,Ver,ø,V,Ve,Ver,Verv,Vervi,C,CK,CKC,CKCC,CKCCL,noacc,11,13,11,9,13,6,7,15,3,4,3,4,3,6,3,5,-1,light,light,light,light,heavy,light,light,light,c,c,c,c,c,c,c,c,CKC,CLC,CKC,CK,CKCC,K,CK,CLC,C,C,C,C,C,,C,C,C,C,C,,CC,,,C,K,L,K,K,K,K,K,L,3,4,3,2,5,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,CVC,CVVC,CVC,CVC,CVCC,VC,CVC,CVVC,2,1,2,2,3,1,2,1,N,NN,T,2,Vervielfaeltigungsapparat,sekunda
tung,ø,g,ng,ung,tung,ltung,C,KC,CKC,CCKC,KCCKC,ø,Wohl,ø,W,Wo,Woh,Wohl,Wohlt,C,CL,CLC,CLCC,CLCCL,ø,11,7,10,12,11,9,12,12,3,3,3,4,3,4,3,4,0,light,light,light,light,light,light,light,light,c,o,c,c,c,c,c,c,CLC,CL,CKC,CDA,CKC,KC,CCKC,CKC,C,C,C,C,C,,CC,C,C,,C,A,C,C,C,C,L,L,K,D,K,K,K,K,4,2,3,5,3,2,4,4,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,2,1,2,1,1,1,1,CVVC,CVV,CVC,CVVC,CVC,VC,CCVC,CVC,1,0,2,1,2,1,3,2,N,NN,T,2,Wohltaetigkeitsveranstaltung,prima
heit,heit,t,it,eit,heit,kheit,C,DC,CDC,CCDC,CCCDC,ø,Zi,ø,Z,Zi,Ziv,Zivi,Zivil,A,AL,ALC,ALCL,ALCLC,ø,9,9,12,7,9,10,15,12,4,4,6,3,4,3,3,4,0,light,light,light,light,light,heavy,heavy,light,o,o,o,c,o,c,c,c,AL,CL,CL,CK,AL,LCC,CCKCC,CDC,A,C,C,C,A,,CC,C,,,,,,CC,CC,C,L,L,L,K,L,L,K,D,2,2,2,2,2,3,5,4,0,0,0,1,0,2,2,1,1,1,1,1,1,0,2,1,2,2,2,1,2,2,1,2,CVV,CVV,CVV,CVC,CVV,VVCC,CCVCC,CVVC,0,0,0,2,0,1,4,1,N,NN,T,2,Zivilisationskrankheit,antepaenultima
lung,ø,g,ng,ung,lung,llung,C,KC,CKC,KCKC,CKCKC,ø,Zur,ø,Z,Zu,Zur,Zurd,Zurdi,A,AL,ALC,ALCC,ALCCK,ø,13,10,7,9,9,10,8,15,4,3,3,4,4,3,2,5,0,light,light,light,light,light,heavy,light,light,c,c,o,o,o,c,c,c,ALC,CKC,CL,CL,AL,LCC,CCK,CKC,A,C,C,C,A,,CC,C,C,C,,,,CC,,C,L,K,L,L,L,L,K,K,3,3,2,2,2,2,4,4,1,1,0,0,0,2,1,1,1,1,1,1,1,0,2,1,2,1,2,2,2,2,1,1,CVVC,CVC,CVV,CVV,CVV,VVCC,CCVC,CVC,1,2,0,0,0,1,3,2,N,ø,T,0,Zurdispositionstellung,antepaenultima
