syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
orts,ø,s,ts,rts,orts,rorts,A,CA,KCA,CKCA,KCKCA,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,11,11,4,3,3,1,light,schwa,heavy,c,c,c,KC,CKC,KCA,,C,,C,C,CA,K,K,K,2,3,4,1,1,2,0,1,0,1,1,1,VC,CVC,VCC,1,2,2,ADV,ø,F,2,anderorts,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,11,12,4,3,4,1,light,schwa,light,c,c,c,KC,CKC,CDA,,C,C,C,C,A,K,K,D,2,3,5,1,1,1,0,1,1,1,1,2,VC,CVC,CVVC,1,2,1,ADV,ø,F,2,anderseits,multa
wie,ø,e,ie,wie,swie,rswie,L,CL,CCL,CCCL,KCCCL,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,12,9,4,3,4,0,light,schwa,light,c,c,o,KC,CKCC,CL,,C,C,C,CC,,K,K,L,2,4,3,1,2,0,0,1,1,1,1,2,VC,CVCC,CVV,1,3,0,ADV,ø,F,2,anderswie,multa
wo,ø,o,wo,swo,rswo,erswo,L,CL,CCL,CCCL,KCCCL,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,12,7,4,3,3,-1,light,schwa,light,c,c,o,KC,CKCC,CL,,C,C,C,CC,,K,K,L,2,4,2,1,2,0,0,1,1,1,1,2,VC,CVCC,CVV,1,3,0,ADV,ø,F,2,anderswo,multa
halb,ø,b,lb,alb,halb,thalb,C,CC,KCC,CKCC,CCKCC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,12,12,4,3,3,1,light,schwa,heavy,c,c,c,KC,CKCC,CKCC,,C,C,C,CC,CC,K,K,K,2,4,4,1,2,2,0,1,1,1,1,1,VC,CVCC,CVCC,1,3,3,X,ø,F,2,anderthalb,multa
w1rts,ø,s,ts,rts,erts,aerts,A,CA,KCA,CKCA,CCKCA,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,11,12,4,3,3,1,light,schwa,heavy,c,c,c,KC,CKC,CKCA,,C,C,C,C,CA,K,K,K,2,3,5,1,1,2,0,1,1,1,1,1,VC,CVC,CVCC,1,2,3,ADV,ø,F,1,anderwaerts,multa
weit,ø,t,it,eit,weit,rweit,C,DC,CDC,CCDC,KCCDC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,11,12,4,3,4,1,light,schwa,light,c,c,c,KC,CKC,CDC,,C,C,C,C,C,K,K,D,2,3,4,1,1,1,0,1,1,1,1,2,VC,CVC,CVVC,1,2,1,ADV,B,F,1,anderweit,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,and,ø,a,an,and,andr,andre,K,KC,KCC,KCCC,KCCCK,ø,9,15,12,4,3,4,1,light,schwa,light,c,c,c,KC,CCKC,CDA,,CC,C,C,C,A,K,K,D,3,3,5,1,1,1,0,2,1,1,1,2,VC,CCVC,CVVC,1,3,1,ADV,ø,F,2,andrerseits,multa
lich,ø,h,ch,ich,lich,glich,C,KC,CKC,CCKC,LCCKC,noacc,best,ø,b,be,bes,best,bestm,C,CK,CKC,CKCC,CKCCC,ø,9,10,13,2,3,4,2,heavy,light,light,c,c,c,CKCC,CLC,CKC,C,C,C,CC,C,C,K,L,K,4,3,4,2,1,1,1,1,1,1,2,1,CVCC,CVVC,CVC,3,1,2,A,AA,F,2,bestmoeglich,multa
ernst,ø,t,st,nst,rnst,ernst,C,CC,CCC,CCCC,KCCCC,ø,bit,ø,b,bi,bit,bitt,bitte,C,CK,CKC,CKCK,CKCKC,ø,9,11,15,4,3,3,3,light,schwa,heavy,c,c,c,CK,CKC,KCCCC,C,C,,,C,CCCC,K,K,K,3,3,5,1,1,4,1,1,0,1,1,1,CVC,CVC,VCCCC,2,2,4,A,AA,F,2,bitterernst,multa
gelb,ø,b,lb,elb,gelb,rgelb,C,CC,KCC,CKCC,CCKCC,ø,but,ø,b,bu,but,butt,butte,C,CK,CKC,CKCK,CKCKC,ø,9,11,12,4,3,3,1,light,schwa,heavy,c,c,c,CK,CKC,CKCC,C,C,C,,C,CC,K,K,K,3,3,4,1,1,2,1,1,1,1,1,1,CVC,CVC,CVCC,2,2,3,A,NA,F,2,buttergelb,multa
weich,ø,h,ch,ich,eich,weich,C,DC,CDC,CCDC,KCCDC,ø,but,ø,b,bu,but,butt,butte,C,CK,CKC,CKCK,CKCKC,ø,9,11,12,4,3,4,1,light,schwa,light,c,c,c,CK,CKC,CDC,C,C,C,,C,C,K,K,D,3,3,5,1,1,1,1,1,1,1,1,2,CVC,CVC,CVVC,2,2,1,A,NA,F,2,butterweich,multa
m1$,ø,s,ss,ess,aess,maess,C,LC,CLC,KCLC,CKCLC,ø,dem,ø,d,de,dem,demg,demge,C,CL,CLC,CLCC,CLCCK,ø,10,7,10,3,3,3,0,light,schwa,light,c,o,c,CLC,CK,CLC,C,C,C,C,,C,L,K,L,3,2,3,1,0,1,1,1,1,2,1,2,CVVC,CV,CVVC,1,1,1,ADV,ø,F,2,demgemaess,multa
tig,ø,g,ig,tig,rtig,artig,C,KC,CKC,CCKC,LCCKC,noacc,der,ø,d,de,der,dera,derar,C,CL,CLC,CLCL,CLCLC,ø,11,14,10,3,7,3,-1,light,light,light,c,c,c,CLC,LC,CKC,C,,C,C,C,C,L,L,K,3,2,3,1,1,1,1,0,1,2,2,1,CVVC,VVC,CVC,1,0,2,A,ø,F,2,derartig,multa
stalt,ø,t,lt,alt,talt,stalt,L,CL,CCL,KCCL,CKCCL,ø,der,ø,d,de,der,derg,derge,C,CL,CLC,CLCC,CLCCK,ø,11,8,7,3,2,3,-2,light,schwa,heavy,c,c,c,CLC,CKC,CL,C,C,C,C,C,,L,K,L,3,2,5,1,1,2,1,1,1,2,1,1,CVVC,CVC,CVCC,1,2,3,ADV,ø,F,2,dergestalt,multa
chen,chen,n,en,hen,chen,ichen,C,KC,CKC,DCKC,CDCKC,ø,der,ø,d,de,der,derg,dergl,C,CL,CLC,CLCC,CLCCC,ø,11,15,10,3,5,3,-1,light,light,schwa,c,o,c,CLC,CCD,CKC,C,CC,C,C,,C,L,D,K,3,4,4,1,0,1,1,2,1,2,2,1,CVVC,CCVV,CVC,1,1,2,X,ø,F,2,dergleichen,multa
einst,ø,t,st,nst,inst,einst,C,CC,CCC,DCCC,CDCCC,ø,der,ø,d,de,der,derm,derma,C,CL,CLC,CLCC,CLCCL,ø,11,17,15,3,5,3,2,light,light,heavy,c,c,c,CLC,CLC,DCCC,C,C,,C,C,CCC,L,L,D,3,3,5,1,1,3,1,1,0,2,2,2,CVVC,CVVC,VVCCC,1,1,1,ADV,B,F,1,dermaleinst,multa
$en,ø,n,en,sen,ssen,assen,C,KC,CKC,LCKC,CLCKC,ø,der,ø,d,de,der,derm,derma,C,CL,CLC,CLCC,CLCCL,ø,11,13,10,3,6,3,-1,light,light,schwa,c,o,c,CLC,CL,CKC,C,C,C,C,,C,L,L,K,3,2,3,1,0,1,1,1,1,2,2,1,CVVC,CVV,CVC,1,0,2,ADV,F,F,1,dermassen,multa
len,ø,n,en,len,ilen,eilen,C,KC,CKC,DCKC,CDCKC,ø,der,ø,d,de,der,derw,derwe,C,CL,CLC,CLCC,CLCCD,ø,11,11,13,3,5,4,1,light,light,schwa,c,o,c,CLC,CD,CKC,C,C,C,C,,C,L,D,K,3,3,3,1,0,1,1,1,1,2,2,1,CVVC,CVV,CVC,1,0,2,X,ø,F,2,derweilen,multa
len,ø,n,en,len,ilen,eilen,C,KC,CKC,DCKC,CDCKC,ø,der,ø,d,de,der,derw,derwe,C,CL,CLC,CLCC,CLCCD,ø,11,11,13,3,5,4,1,light,light,schwa,c,o,c,CLC,CD,CKC,C,C,C,C,,C,L,D,K,3,3,3,1,0,1,1,1,1,2,2,1,CVVC,CVV,CVC,1,0,2,ADV,ø,F,2,derweilen,multa
tig,ø,g,ig,tig,itig,eitig,C,KC,CKC,DCKC,ADCKC,noacc,der,ø,d,de,der,derz,derze,C,CL,CLC,CLCA,CLCAD,ø,11,11,10,3,5,3,-1,light,light,light,c,o,c,CLC,AD,CKC,C,A,C,C,,C,L,D,K,3,3,3,1,0,1,1,1,1,2,2,1,CVVC,CVV,CVC,1,0,2,A,ø,F,2,derzeitig,multa
chen,chen,n,en,hen,chen,ichen,C,KC,CKC,DCKC,CDCKC,ø,des,ø,d,de,des,desg,desgl,C,CK,CKC,CKCC,CKCCC,ø,8,15,10,2,5,3,1,light,light,schwa,c,o,c,CKC,CCD,CKC,C,CC,C,C,,C,K,D,K,3,4,4,1,0,1,1,2,1,1,2,1,CVC,CCVV,CVC,2,1,2,ADV,ø,F,2,desgleichen,multa
gen,ø,n,en,gen,egen,wegen,C,KC,CKC,LCKC,CLCKC,ø,des,ø,d,de,des,desw,deswe,C,CK,CKC,CKCC,CKCCL,ø,8,7,10,2,3,3,1,light,light,schwa,c,o,c,CKC,CL,CKC,C,C,C,C,,C,K,L,K,3,2,3,1,0,1,1,1,1,1,2,1,CVC,CVV,CVC,2,0,2,X,ø,F,2,deswegen,multa
