syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
um,um,m,um,ium,rium,orium,C,KC,LKC,CLKC,LCLKC,ø,Ab,ø,A,Ab,Abs,Abso,Absol,K,KC,KCC,KCCL,KCCLC,ø,7,7,12,7,12,11,3,3,6,3,6,5,0,light,light,light,light,light,light,c,o,o,o,o,c,KC,CL,CL,CL,CL,KC,,C,C,C,C,,C,,,,,C,K,L,L,L,L,K,2,2,2,2,2,2,1,0,0,0,0,1,0,1,1,1,1,0,1,2,2,2,2,1,VC,CVV,CVV,CVV,CVV,VC,1,0,0,0,0,1,N,R,T,1,Absolutorium,antepaenultima
nis,nis,s,is,nis,bnis,ebnis,C,KC,CKC,CCKC,LCCKC,noacc,Ab,ø,A,Ab,Abs,Abst,Absti,K,KC,KCC,KCCC,KCCCK,acc,7,10,15,10,8,12,3,3,3,5,2,4,0,light,light,heavy,light,light,light,c,c,c,c,c,c,KC,CCK,CKCC,KC,CLC,CKC,,CC,C,,C,C,C,,CC,C,C,C,K,K,K,K,L,K,2,4,5,2,3,3,1,1,2,1,1,1,0,2,1,0,1,1,1,1,1,1,2,1,VC,CCVC,CVCC,VC,CVVC,CVC,1,3,3,1,1,2,N,NN,T,2,Abstimmungsergebnis,prima
mal,ø,l,al,mal,nmal,enmal,C,LC,CLC,CCLC,KCCLC,ø,acht,ø,a,ac,ach,acht,achtm,K,KC,KCC,KCCC,KCCCL,ø,8,11,12,6,12,17,2,5,6,6,4,5,1,heavy,light,light,light,schwa,light,c,o,o,o,c,c,KCC,CL,CL,L,CKC,CLC,,C,C,,C,C,CC,,,,C,C,K,L,L,L,K,L,4,3,2,1,3,3,2,0,0,0,1,1,0,1,1,0,1,1,1,2,2,2,1,2,VCC,CVV,CVV,VV,CVC,CVVC,2,0,0,0,2,1,ADV,ø,F,2,achtmillionenmal,sekunda
tor,ø,r,or,tor,otor,motor,C,KC,CKC,LCKC,CLCKC,ø,Acht,ø,A,Ac,Ach,Acht,Achtz,K,KC,KCC,KCCA,KCCAL,ø,8,9,15,11,9,11,2,4,5,3,4,3,0,heavy,light,light,schwa,light,light,c,o,c,c,o,c,KCC,AL,CKC,CKC,CL,CKC,,A,C,C,C,C,CC,,C,C,,C,K,L,K,K,L,K,4,2,3,3,2,3,2,0,1,1,0,1,0,1,1,1,1,1,1,2,1,1,2,1,VCC,CVV,CVC,CVC,CVV,CVC,2,0,2,2,0,2,N,NN,T,2,Achtzylindermotor,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ad,ø,A,Ad,Adj,Adju,Adjud,K,KC,KCC,KCCL,KCCLC,ø,7,14,9,7,9,9,3,7,4,3,4,4,-1,light,light,light,light,light,light,c,o,o,c,o,c,KC,CL,CL,CK,AL,LC,,C,C,C,A,,C,,,,,C,K,L,L,K,L,L,2,2,2,2,2,2,1,0,0,1,0,1,0,1,1,1,1,0,1,2,2,1,2,2,VC,CVV,CVV,CVC,CVV,VVC,1,0,0,2,0,0,N,R,T,1,Adjudikation,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ad,ø,A,Ad,Adm,Admi,Admin,K,KC,KCC,KCCL,KCCLC,ø,7,11,12,11,9,9,3,5,4,3,4,4,0,light,light,light,light,light,light,c,o,c,c,o,c,KC,CL,CKC,CCK,AL,LC,,C,C,CC,A,,C,,C,,,C,K,L,K,K,L,L,2,2,2,4,2,2,1,0,1,1,0,1,0,1,1,2,1,0,1,2,1,1,2,2,VC,CVV,CVC,CCVC,CVV,VVC,1,0,2,3,0,0,N,R,T,1,Administration,ultima
mik,ø,k,ik,mik,amik,namik,C,KC,CKC,LCKC,CLCKC,noacc,9,ø,A,Ae,Aer,Aero,Aerod,K,KL,KLC,KLCL,KLCLC,ø,6,6,10,9,13,12,6,6,5,4,6,4,1,heavy,light,light,light,light,light,o,o,o,o,o,c,K,L,CL,CL,CL,CKC,,,C,C,C,C,,,,,,C,K,L,L,L,L,K,1,1,2,2,2,3,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,2,1,V,VV,CVV,CVV,CVV,CVC,0,0,0,0,0,2,N,R,T,1,Aerodynamik,paenultima
misch,ø,h,ch,sch,isch,misch,C,KC,CKC,LCKC,CLCKC,ø,1,ø,a,ae,aer,aero,aerod,K,KL,KLC,KLCL,KLCLC,ø,6,6,10,9,13,12,6,6,5,4,6,4,1,heavy,light,light,light,light,light,o,o,o,o,o,c,K,L,CL,CL,CL,CKC,,,C,C,C,C,,,,,,C,K,L,L,L,L,K,1,1,2,2,2,5,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,2,1,V,VV,CVV,CVV,CVV,CVC,0,0,0,0,0,2,A,R,F,1,aerodynamisch,paenultima
nik,ø,k,ik,nik,anik,hanik,C,KC,CKC,LCKC,CLCKC,noacc,9,ø,A,Ae,Aer,Aero,Aerom,K,KL,KLC,KLCL,KLCLC,ø,6,6,10,9,11,12,6,6,5,4,5,4,1,heavy,light,light,light,light,light,o,o,o,o,o,c,K,L,CL,CL,CL,CKC,,,C,C,C,C,,,,,,C,K,L,L,L,L,K,1,1,2,2,3,3,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,2,1,V,VV,CVV,CVV,CVV,CVC,0,0,0,0,0,2,N,N,T,1,Aeromechanik,paenultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Af,ø,A,Af,Aff,Affi,Affil,K,KC,KCL,KCLC,KCLCL,ø,6,9,12,6,9,9,6,4,6,6,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,K,CL,CL,K,AL,LC,,C,C,,A,,,,,,,C,K,L,L,K,L,L,2,2,2,1,2,2,1,0,0,1,0,1,0,1,1,0,1,0,1,2,2,1,2,2,VC,CVV,CVV,VC,CVV,VVC,1,0,0,1,0,0,N,R,T,1,Affiliation,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ag,ø,A,Ag,Agg,Aggl,Agglo,K,KC,KCC,KCCL,KCCLC,ø,6,11,9,10,9,9,6,3,4,5,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,K,CCL,CL,CK,AL,LC,,CC,C,C,A,,,,,,,C,K,L,L,K,L,L,2,3,2,2,2,2,1,0,0,1,0,1,0,2,1,1,1,0,1,2,2,1,2,2,VC,CCVV,CVV,CVC,CVV,VVC,1,1,0,2,0,0,N,R,T,1,Agglomeration,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ag,ø,A,Ag,Agg,Aggl,Agglu,K,KC,KCC,KCCL,KCCLC,ø,6,13,9,9,9,9,6,4,4,4,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,K,CCL,CL,CK,AL,LC,,CC,C,C,A,,,,,,,C,K,L,L,K,L,L,2,3,2,2,2,2,1,0,0,1,0,1,0,2,1,1,1,0,1,2,2,1,2,2,VC,CCVV,CVV,CVC,CVV,VVC,1,1,0,2,0,0,N,R,T,1,Agglutination,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ak,ø,a,ak,akk,akkl,akkli,K,KC,KCC,KCCL,KCCLC,ø,6,13,9,9,9,13,6,4,4,4,4,4,0,light,light,light,light,light,schwa,c,o,c,o,o,c,K,CCL,CK,CL,CL,CKC,,CC,C,C,C,C,,,,,,C,K,L,K,L,L,K,2,3,2,2,3,3,1,0,1,0,0,1,0,2,1,1,1,1,1,2,1,2,2,1,VC,CCVV,CVC,CVV,CVV,CVC,1,1,2,0,0,2,V,R,F,1,akklimatisieren,paenultima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,Ak,ø,A,Ak,Akk,Akkl,Akkli,K,KC,KCC,KCCL,KCCLC,ø,6,13,9,9,9,15,6,4,4,4,4,5,0,light,light,light,light,light,light,c,o,c,o,o,c,K,CCL,CK,CL,CL,CKC,,CC,C,C,C,C,,,,,,C,K,L,K,L,L,K,2,3,2,2,3,4,1,0,1,0,0,1,0,2,1,1,1,1,1,2,1,2,2,1,VC,CCVV,CVC,CVV,CVV,CVC,1,1,2,0,0,2,N,V,T,1,Akklimatisierung,paenultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ak,ø,A,Ak,Akk,Akku,Akkul,K,KC,KCK,KCKC,KCKCC,ø,6,13,9,10,9,9,6,4,4,5,4,4,0,light,light,light,light,light,light,c,c,o,c,o,c,K,CKC,CL,CK,AL,LC,,C,C,C,A,,,C,,,,C,K,K,L,K,L,L,2,3,2,2,2,2,1,1,0,1,0,1,0,1,1,1,1,0,1,1,2,1,2,2,VC,CVC,CVV,CVC,CVV,VVC,1,2,0,2,0,0,N,R,T,1,Akkulturation,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ak,ø,A,Ak,Akk,Akku,Akkum,K,KC,KCL,KCLC,KCLCL,ø,6,9,11,10,9,9,6,4,5,5,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,K,CL,CL,CK,AL,LC,,C,C,C,A,,,,,,,C,K,L,L,K,L,L,2,2,2,2,2,2,1,0,0,1,0,1,0,1,1,1,1,0,1,2,2,1,2,2,VC,CVV,CVV,CVC,CVV,VVC,1,0,0,2,0,0,N,R,T,1,Akkumulation,ultima
jekt,ø,t,kt,ekt,jekt,bjekt,C,CC,KCC,CKCC,CCKCC,ø,Ak,ø,A,Ak,Akk,Akku,Akkus,K,KC,KCL,KCLC,KCLCK,ø,6,9,7,10,7,14,6,4,3,3,3,3,1,light,light,light,light,light,heavy,c,o,c,c,c,c,K,CL,CK,CLC,KC,CKCC,,C,C,C,,C,,,,C,C,CC,K,L,K,L,K,K,2,2,2,3,2,4,1,0,1,1,1,2,0,1,1,1,0,1,1,2,1,2,1,1,VC,CVV,CVC,CVVC,VC,CVCC,1,0,2,1,1,3,N,NN,T,2,Akkusativobjekt,prima
schaft,schaft,t,ft,aft,haft,chaft,C,CC,KCC,CKCC,CCKCC,ø,Ak,ø,A,Ak,Akt,Akti,Aktie,K,KC,KCA,KCAL,KCALK,ø,7,9,9,7,11,9,3,4,4,3,3,2,0,light,light,schwa,schwa,light,heavy,c,o,c,o,c,c,KC,AL,KC,CK,CKC,CKCC,,A,,C,C,C,C,,C,,C,CC,K,L,K,K,K,K,2,2,2,2,4,6,1,0,1,0,1,2,0,1,0,1,1,1,1,2,1,1,1,1,VC,CVV,VC,CV,CVC,CVCC,1,0,1,1,2,3,N,NN,T,2,Aktiengesellschaft,prima
tal,ø,l,al,tal,ital,pital,C,LC,CLC,LCLC,CLCLC,ø,Ak,ø,A,Ak,Akt,Akti,Aktie,K,KC,KCA,KCAL,KCALK,ø,7,9,9,7,9,15,3,4,4,3,4,5,1,light,light,schwa,light,light,light,c,o,c,c,o,c,KC,AL,KC,CK,CL,CLC,,A,,C,C,C,C,,C,,,C,K,L,K,K,L,L,2,2,2,2,2,3,1,0,1,1,0,1,0,1,0,1,1,1,1,2,1,1,2,2,VC,CVV,VC,CVC,CVV,CVVC,1,0,1,2,0,1,N,NN,T,2,Aktienkapital,prima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ak,ø,a,ak,akt,aktu,aktua,K,KC,KCC,KCCL,KCCLK,ø,7,9,6,12,9,13,3,4,6,6,4,4,1,light,light,light,light,light,schwa,c,o,c,o,o,c,KC,CL,K,CL,CL,CKC,,C,,C,C,C,C,,,,,C,K,L,K,L,L,K,2,2,1,2,3,3,1,0,1,0,0,1,0,1,0,1,1,1,1,2,1,2,2,1,VC,CVV,VC,CVV,CVV,CVC,1,0,1,0,0,2,V,R,F,1,aktualisieren,paenultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ak,ø,A,Ak,Akz,Akze,Akzel,K,KC,KCA,KCAL,KCALC,ø,7,7,10,10,9,9,3,3,5,5,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,KC,AL,CL,CK,AL,LC,,A,C,C,A,,C,,,,,C,K,L,L,K,L,L,2,2,2,2,2,2,1,0,0,1,0,1,0,1,1,1,1,0,1,2,2,1,2,2,VC,CVV,CVV,CVC,CVV,VVC,1,0,0,2,0,0,N,R,T,1,Akzeleration,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ak,ø,A,Ak,Akz,Akze,Akzen,K,KC,KCA,KCAK,KCAKC,ø,7,10,9,6,9,9,3,3,4,6,4,4,0,light,light,light,light,light,light,c,c,o,c,o,c,KC,AKC,CL,K,AL,LC,,A,C,,A,,C,C,,,,C,K,K,L,K,L,L,2,3,2,1,2,2,1,1,0,1,0,1,0,1,1,0,1,0,1,1,2,1,2,2,VC,CVC,CVV,VC,CVV,VVC,1,2,0,1,0,0,N,N,T,1,Akzentuation,ultima
t1t,ø,t,et,aet,taet,etaet,C,LC,CLC,LCLC,LLCLC,ø,Ak,ø,A,Ak,Akz,Akze,Akzes,K,KC,KCA,KCAK,KCAKC,ø,7,7,7,12,6,8,3,3,3,6,6,2,0,light,light,light,light,light,light,c,c,o,o,o,c,KC,AK,CL,CL,L,CLC,,A,C,C,,C,C,,,,,C,K,K,L,L,L,L,2,3,2,2,1,3,1,1,0,0,0,1,0,1,1,1,0,1,1,1,2,2,2,2,VC,CVC,CVV,CVV,VV,CVVC,1,2,0,0,0,1,N,R,T,1,Akzessorietaet,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,A,ø,A,Al,Ali,Alie,Alien,K,KC,KCL,KCLL,KCLLC,ø,6,12,6,9,9,9,6,6,6,4,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,K,CL,L,CK,AL,LC,,C,,C,A,,,,,,,C,K,L,L,K,L,L,1,2,1,2,2,2,1,0,0,1,0,1,0,1,0,1,1,0,1,2,2,1,2,2,VC,CVV,VV,CVC,CVV,VVC,1,0,0,2,0,0,N,R,T,1,Alienation,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,A,ø,A,Al,Ali,Alim,Alime,K,KC,KCL,KCLC,KCLCK,ø,6,12,12,7,9,9,6,6,4,3,4,4,0,light,light,light,light,light,light,c,o,c,c,o,c,K,CL,CKC,CK,AL,LC,,C,C,C,A,,,,C,,,C,K,L,K,K,L,L,1,2,3,2,2,2,1,0,1,1,0,1,0,1,1,1,1,0,1,2,1,1,2,2,VC,CVV,CVC,CVC,CVV,VVC,1,0,2,2,0,0,N,R,T,1,Alimentation,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,al,ø,a,al,alk,alko,alkoh,K,KC,KCC,KCCL,KCCLC,ø,10,7,7,12,9,13,5,3,3,6,4,4,0,light,light,light,light,light,schwa,c,o,o,o,o,c,KC,CL,CL,CL,CL,CKC,,C,C,C,C,C,C,,,,,C,K,L,L,L,L,K,2,2,2,2,3,3,1,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,1,VC,CVV,CVV,CVV,CVV,CVC,1,0,0,0,0,2,V,N,F,1,alkoholisieren,paenultima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,Al,ø,A,Al,Alk,Alko,Alkoh,K,KC,KCC,KCCL,KCCLC,ø,10,7,7,12,9,15,5,3,3,6,4,5,1,light,light,light,light,light,light,c,o,o,o,o,c,KC,CL,CL,CL,CL,CKC,,C,C,C,C,C,C,,,,,C,K,L,L,L,L,K,2,2,2,2,3,4,1,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,1,VC,CVV,CVV,CVV,CVV,CVC,1,0,0,0,0,2,N,V,T,1,Alkoholisierung,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,al,ø,a,al,all,alle,alleg,K,KC,KCL,KCLC,KCLCL,ø,6,10,7,12,9,13,6,5,3,6,4,4,1,light,light,light,light,light,schwa,c,o,o,o,o,c,K,CL,CL,CL,CL,CKC,,C,C,C,C,C,,,,,,C,K,L,L,L,L,K,2,2,2,2,3,3,1,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2,1,VC,CVV,CVV,CVV,CVV,CVC,1,0,0,0,0,2,V,N,F,1,allegorisieren,paenultima
