syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
dukt,ø,t,kt,ukt,dukt,odukt,C,CC,KCC,CKCC,LCKCC,Ab,ø,A,Ab,Abf,Abfa,Abfal,K,KC,KCC,KCCK,KCCKC,7,11,11,11,3,3,3,2,1,light,light,light,heavy,c,c,o,c,KC,CKC,CCL,CKCC,,C,CC,C,C,C,,CC,K,K,L,K,2,4,3,4,1,1,0,2,0,1,2,1,1,1,2,1,VC,CVC,CCVV,CVCC,1,2,1,3,N,VN,T,2,Abfallprodukt,prima
tel,ø,l,el,tel,ttel,ittel,C,KC,CKC,KCKC,CKCKC,Ab,ø,A,Ab,Abf,Abfu,Abfue,K,KC,KCC,KCCL,KCCLC,7,13,11,11,3,4,5,3,1,light,light,light,schwa,c,c,c,c,KC,CLC,CK,CKC,,C,C,C,C,C,,C,K,L,K,K,2,4,3,3,1,1,1,1,0,1,1,1,1,2,1,1,VC,CVVC,CVC,CVC,1,1,2,2,N,VN,T,2,Abfuehrmittel,prima
soll,ø,l,ll,oll,soll,esoll,C,KC,CKC,KCKC,CKCKC,Ab,ø,A,Ab,Abg,Abga,Abgab,K,KC,KCC,KCCL,KCCLC,7,11,7,11,3,5,3,3,0,light,light,schwa,light,c,o,o,c,KC,CL,CK,CKC,,C,C,C,C,,,C,K,L,K,K,2,2,2,4,1,0,0,1,0,1,1,1,1,2,1,1,VC,CVV,CV,CVC,1,0,1,2,N,NN,T,2,Abgabesoll,prima
nis,nis,s,is,nis,gnis,ugnis,C,KC,CKC,CCKC,DCCKC,Ab,ø,A,Ab,Abg,Abga,Abgan,K,KC,KCC,KCCK,KCCKC,7,11,12,12,3,2,4,4,1,light,heavy,light,light,c,c,c,c,KC,CKCC,ADC,CKC,,C,A,C,C,CC,C,C,K,K,D,K,2,5,4,3,1,2,1,1,0,1,1,1,1,1,2,1,VC,CVCC,CVVC,CVC,1,3,1,2,N,NN,T,2,Abgangszeugnis,prima
ge,ø,e,ge,nge,ange,lange,K,CK,KCK,CKCK,CCKCK,Ab,ø,A,Ab,Abg,Abgo,Abgot,K,KC,KCC,KCCK,KCCKC,7,8,11,9,3,2,3,4,1,light,light,light,schwa,c,c,c,o,KC,CKC,CCK,CK,,C,CC,C,C,C,,,K,K,K,K,2,4,6,2,1,1,1,0,0,1,2,1,1,1,1,1,VC,CVC,CCVC,CV,1,2,3,1,N,NN,T,2,Abgottschlange,prima
platz,ø,z,tz,atz,latz,platz,A,KA,CKA,CCKA,KCCKA,Ab,ø,A,Ab,Abl,Abla,Ablad,K,KC,KCC,KCCL,KCCLC,7,14,7,12,3,7,3,3,0,light,light,schwa,light,c,o,o,c,KC,CL,CK,CCKA,,C,C,CC,C,,,A,K,L,K,K,2,2,2,5,1,0,0,1,0,1,1,2,1,2,1,1,VC,CVV,CV,CCVC,1,0,1,3,N,VN,T,2,Abladeplatz,prima
ne,ø,e,ne,nne,inne,rinne,K,CK,KCK,CKCK,CCKCK,Ab,ø,A,Ab,Abl,Abla,Ablau,K,KC,KCC,KCCD,KCCDC,7,15,12,9,3,5,6,4,0,light,light,light,schwa,c,c,c,o,KC,CDC,CK,CK,,C,C,C,C,C,,,K,D,K,K,2,4,3,2,1,1,1,0,0,1,1,1,1,2,1,1,VC,CVVC,CVC,CV,1,1,2,1,N,VN,T,2,Ablaufrinne,prima
reit,ø,t,it,eit,reit,ereit,C,DC,CDC,KCDC,CKCDC,ab,ab,a,ab,abm,abma,abmar,K,KC,KCC,KCCK,KCCKC,7,14,7,15,3,3,3,5,1,light,heavy,schwa,light,c,c,o,c,KC,CKCC,CK,CDC,,C,C,C,C,CC,,C,K,K,K,D,2,6,2,4,1,2,0,1,0,1,1,1,1,1,1,2,VC,CVCC,CV,CVVC,1,3,1,1,A,NA,F,2,abmarschbereit,prima
land,ø,d,nd,and,land,rland,C,CC,KCC,CKCC,CCKCC,Ab,ø,A,Ab,Abn,Abne,Abneh,K,KC,KCC,KCCL,KCCLC,7,9,13,14,3,4,4,3,2,light,light,schwa,heavy,c,o,c,c,KC,CL,CKC,CKCC,,C,C,C,C,,C,CC,K,L,K,K,2,3,3,4,1,0,1,2,0,1,1,1,1,2,1,1,VC,CVV,CVC,CVCC,1,0,2,3,N,NN,T,2,Abnehmerland,prima
reit,ø,t,it,eit,reit,ereit,C,DC,CDC,KCDC,CKCDC,ab,ab,a,ab,abr,abru,abruf,K,KC,KCC,KCCL,KCCLC,7,13,7,15,3,4,3,5,1,light,light,schwa,light,c,c,o,c,KC,CLC,CK,CDC,,C,C,C,C,C,,C,K,L,K,D,2,3,2,4,1,1,0,1,0,1,1,1,1,2,1,2,VC,CVVC,CV,CVVC,1,1,1,1,A,ø,F,2,abrufbereit,prima
biet,ø,t,et,iet,biet,ebiet,C,LC,CLC,KCLC,CKCLC,Ab,ø,A,Ab,Abs,Absa,Absat,K,KC,KCC,KCCK,KCCKA,7,8,7,10,3,2,3,3,0,light,light,schwa,light,c,c,o,c,KC,CKA,CK,CLC,,C,C,C,C,A,,C,K,K,K,L,2,4,2,4,1,1,0,1,0,1,1,1,1,1,1,2,VC,CVC,CV,CVVC,1,2,1,1,N,NN,T,2,Absatzgebiet,prima
se,ø,e,se,ise,eise,weise,K,CK,DCK,CDCK,ACDCK,ab,ab,a,ab,abs,absa,absat,K,KC,KCC,KCCK,KCCKA,7,8,11,7,3,2,5,3,0,light,light,light,schwa,c,c,o,o,KC,CKA,CD,CK,,C,C,C,C,A,,,K,K,D,K,2,4,3,2,1,1,0,0,0,1,1,1,1,1,2,1,VC,CVC,CVV,CV,1,2,0,1,ADV,ø,F,2,absatzweise,prima
such,ø,h,ch,uch,such,esuch,C,LC,CLC,KCLC,CKCLC,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCL,KCCLA,7,10,7,10,3,3,3,3,0,light,light,schwa,light,c,c,o,c,KC,CLA,CK,CLC,,C,C,C,C,A,,C,K,L,K,L,2,7,2,4,1,1,0,1,0,1,1,1,1,2,1,2,VC,CVVC,CV,CVVC,1,1,1,1,N,NN,T,2,Abschiedsbesuch,prima
lung,ø,g,ng,ung,lung,hlung,C,KC,CKC,LCKC,ALCKC,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCC,KCCCL,7,17,11,15,3,3,5,5,1,light,heavy,light,light,c,c,o,c,KC,CCLCC,AL,CKC,,CC,A,C,C,CC,,C,K,L,L,K,2,7,3,4,1,2,0,1,0,2,1,1,1,2,2,1,VC,CCVVCC,CVV,CVC,1,2,0,2,N,NN,T,2,Abschlagszahlung,prima
fung,ø,g,ng,ung,fung,efung,C,KC,CKC,LCKC,CLCKC,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCC,KCCCK,7,14,13,12,3,3,4,4,1,light,light,light,light,c,c,o,c,KC,CCKC,CCL,CKC,,CC,CC,C,C,C,,C,K,K,L,K,2,6,3,4,1,1,0,1,0,2,2,1,1,1,2,1,VC,CCVC,CCVV,CVC,1,3,1,2,N,NN,T,2,Abschlusspruefung,prima
tag,ø,g,ag,tag,htag,chtag,C,LC,CLC,CCLC,KCCLC,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCC,KCCCK,7,14,11,12,3,3,2,4,1,light,light,light,light,c,c,c,c,KC,CCKC,CCKC,CLC,,CC,CC,C,C,C,C,C,K,K,K,L,2,6,5,3,1,1,1,1,0,2,2,1,1,1,1,2,VC,CCVC,CCVC,CVVC,1,3,3,1,N,NN,T,2,Abschlussstichtag,prima
se,ø,e,se,ise,eise,weise,K,CK,DCK,CDCK,ACDCK,ab,ab,a,ab,abs,absc,absch,K,KC,KCC,KCCC,KCCCK,7,13,11,7,3,3,5,3,-1,light,light,light,schwa,c,c,o,o,KC,CCKA,CD,CK,,CC,C,C,C,A,,,K,K,D,K,2,8,3,2,1,1,0,0,0,2,1,1,1,1,2,1,VC,CCVC,CVV,CV,1,3,0,1,ADV,ø,F,2,abschnittsweise,prima
pe,ø,e,pe,mpe,ampe,rampe,K,CK,CCK,KCCK,CKCCK,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCK,KCCKC,7,10,13,7,3,3,4,3,0,light,light,light,schwa,c,c,c,o,KC,CKC,CKC,CK,,C,C,C,C,C,C,,K,K,K,K,2,5,3,2,1,1,1,0,0,1,1,1,1,1,1,1,VC,CVC,CVC,CV,1,2,2,1,N,NN,T,2,Abschussrampe,prima
lung,ø,g,ng,ung,lung,llung,C,KC,CKC,KCKC,CKCKC,Ab,ø,A,Ab,Abs,Abse,Absei,K,KC,KCC,KCCD,KCCDA,7,12,8,15,3,4,2,5,2,light,light,light,light,c,c,c,c,KC,CDA,CCK,CKC,,C,CC,C,C,A,,C,K,D,K,K,2,5,4,4,1,1,1,1,0,1,2,1,1,2,1,1,VC,CVVC,CCVC,CVC,1,1,3,2,N,ø,T,2,Abseitsstellung,prima
te,ø,e,te,tte,ette,kette,K,CK,KCK,CKCK,CCKCK,Ab,ø,A,Ab,Abs,Absp,Abspe,K,KC,KCC,KCCC,KCCCK,7,12,7,7,3,3,3,3,-1,light,light,light,schwa,c,c,c,o,KC,CCKC,CK,CK,,CC,C,C,C,C,,,K,K,K,K,2,5,3,2,1,1,1,0,0,2,1,1,1,1,1,1,VC,CCVC,CVC,CV,1,3,2,1,N,VN,T,2,Absperrkette,prima
fen,ø,n,en,fen,afen,hafen,C,KC,CKC,LCKC,CLCKC,Ab,ø,A,Ab,Abs,Absp,Abspr,K,KC,KCC,KCCC,KCCCC,7,17,11,10,3,3,5,3,0,light,light,light,schwa,c,c,o,c,KC,CCCKC,CL,CKC,,CCC,C,C,C,C,,C,K,K,L,K,2,6,2,3,1,1,0,1,0,3,1,1,1,1,2,1,VC,CCCVC,CVV,CVC,1,4,0,2,N,NN,T,2,Absprunghafen,prima
me,ø,e,me,mme,umme,summe,K,CK,KCK,CKCK,ACKCK,Ab,ø,A,Ab,Abs,Abst,Absta,K,KC,KCC,KCCC,KCCCK,7,12,9,9,3,2,4,4,0,light,heavy,light,schwa,c,c,c,o,KC,CCKCA,CK,CK,,CC,C,C,C,CA,,,K,K,K,K,2,6,3,2,1,2,1,0,0,2,1,1,1,1,1,1,VC,CCVCC,CVC,CV,1,4,2,1,N,NN,T,2,Abstandssumme,prima
hof,ø,f,of,hof,nhof,hnhof,C,LC,CLC,CCLC,LCCLC,Ab,ø,A,Ab,Abs,Abst,Abste,K,KC,KCC,KCCC,KCCCK,7,12,14,8,3,3,4,2,0,light,light,light,light,c,c,c,c,KC,CCKC,CLC,CLC,,CC,C,C,C,C,C,C,K,K,L,L,2,5,4,3,1,1,1,1,0,2,1,1,1,1,2,2,VC,CCVC,CVVC,CVVC,1,3,1,1,N,VN,T,2,Abstellbahnhof,prima
fe,ø,e,fe,rfe,erfe,aerfe,K,CK,CCK,KCCK,CKCCK,Ab,ø,A,Ab,Abs,Abst,Absti,K,KC,KCC,KCCC,KCCCK,7,13,11,7,3,3,3,3,-1,light,light,light,schwa,c,c,c,o,KC,CCKC,CKC,CK,,CC,C,C,C,C,C,,K,K,K,K,2,5,5,2,1,1,1,0,0,2,1,1,1,1,1,1,VC,CCVC,CVC,CV,1,3,2,1,N,VN,T,2,Abstimmschaerfe,prima
tag,ø,g,ag,tag,ztag,nztag,C,LC,CLC,ACLC,CACLC,Ab,ø,A,Ab,Abs,Abst,Absti,K,KC,KCC,KCCC,KCCCL,7,10,13,12,3,3,3,4,1,light,light,heavy,light,c,o,c,c,KC,CCL,CKCA,CLC,,CC,C,C,C,,CA,C,K,L,K,L,2,3,4,3,1,0,2,1,0,2,1,1,1,2,1,2,VC,CCVV,CVCC,CVVC,1,1,3,1,N,NN,T,2,Abstinenztag,paenultima
reich,ø,h,ch,ich,eich,reich,C,DC,CDC,CCDC,CCCDC,ab,ab,a,ab,abw,abwe,abwec,K,KC,KCC,KCCK,KCCKC,7,8,17,15,3,2,3,5,3,light,light,heavy,light,c,c,c,c,KC,CKC,CCKCC,CDC,,C,CC,C,C,C,CC,C,K,K,K,D,2,5,5,5,1,1,2,1,0,1,2,1,1,1,1,2,VC,CVC,CCVCC,CVVC,1,2,4,1,A,NA,F,2,abwechslungsreich,prima
sch2tz,ø,z,tz,etz,uetz,huetz,A,KA,CKA,KCKA,CKCKA,Ab,ø,A,Ab,Abw,Abwe,Abweh,K,KC,KCC,KCCL,KCCLC,7,11,7,10,3,3,3,3,0,light,light,schwa,light,c,c,o,c,KC,CLC,CK,CKA,,C,C,C,C,C,,A,K,L,K,K,2,4,2,6,1,1,0,1,0,1,1,1,1,2,1,1,VC,CVVC,CV,CVC,1,1,1,2,N,VN,T,2,Abwehrgeschuetz,prima
hig,ø,g,ig,hig,ehig,aehig,C,KC,LKC,CLKC,CCLKC,ab,ab,a,ab,abz,abzu,abzug,K,KC,KCA,KCAL,KCALC,7,11,7,9,3,2,3,4,0,light,heavy,light,light,c,c,o,c,KC,ALCC,CL,KC,,A,C,,C,CC,,C,K,L,L,K,2,4,2,3,1,2,0,1,0,1,1,0,1,2,2,1,VC,CVVCC,CVV,VC,1,1,0,1,A,NA,F,2,abzugsfaehig,prima
se,ø,e,se,ose,dose,gdose,K,CK,LCK,CLCK,CCLCK,Ab,ø,A,Ab,Abz,Abzw,Abzwe,K,KC,KCA,KCAC,KCACD,7,13,7,7,3,3,3,3,-1,light,light,light,schwa,c,c,o,o,KC,ACDC,CL,CK,,AC,C,C,C,C,,,K,D,L,K,2,5,2,2,1,1,0,0,0,2,1,1,1,2,2,1,VC,CCVVC,CVV,CV,1,1,0,1,N,VN,T,2,Abzweigdose,prima
le,ø,e,le,hle,ehle,oehle,K,CK,LCK,CLCK,CCLCK,Ach,ø,A,Ac,Ach,Achs,Achse,K,KC,KCC,KCCK,KCCKC,7,11,7,10,3,3,3,5,0,light,schwa,light,schwa,c,c,o,o,KC,CKC,CL,CK,,C,C,C,C,C,,,K,K,L,K,3,3,3,2,1,1,0,0,0,1,1,1,1,1,2,1,VC,CVC,CVV,CV,1,2,0,1,N,NN,T,2,Achselhoehle,prima
pe,ø,e,pe,ppe,appe,lappe,K,CK,KCK,CKCK,CCKCK,Ach,ø,A,Ac,Ach,Achs,Achse,K,KC,KCC,KCCK,KCCKC,7,11,11,7,3,3,3,3,0,light,schwa,light,schwa,c,c,c,o,KC,CKC,CCK,CK,,C,CC,C,C,C,,,K,K,K,K,3,3,4,2,1,1,1,0,0,1,2,1,1,1,1,1,VC,CVC,CCVC,CV,1,2,3,1,N,NN,T,2,Achselklappe,prima
dig,ø,g,ig,dig,ndig,endig,C,KC,CKC,CCKC,KCCKC,ach,ø,a,ac,ach,achs,achse,K,KC,KCC,KCCK,KCCKC,7,11,11,10,3,3,2,3,1,light,schwa,light,light,c,c,c,c,KC,CKC,CCKC,CKC,,C,CC,C,C,C,C,C,K,K,K,K,3,3,4,3,1,1,1,1,0,1,2,1,1,1,1,1,VC,CVC,CCVC,CVC,1,2,3,2,A,NN,F,2,achselstaendig,prima
cken,ø,n,en,ken,cken,ucken,C,KC,CKC,KCKC,AKCKC,Ach,ø,A,Ac,Ach,Achs,Achse,K,KC,KCC,KCCK,KCCKC,7,11,9,10,3,3,4,3,0,light,schwa,light,schwa,c,c,c,c,KC,CKC,AK,CKC,,C,A,C,C,C,,C,K,K,K,K,3,3,2,4,1,1,1,1,0,1,1,1,1,1,1,1,VC,CVC,CVC,CVC,1,2,2,2,N,NF,T,2,Achselzucken,prima
ckend,ø,d,nd,end,kend,ckend,C,CC,KCC,CKCC,KCKCC,ach,ø,a,ac,ach,achs,achse,K,KC,KCC,KCCK,KCCKC,7,11,9,11,3,3,4,2,1,light,schwa,light,schwa,c,c,c,c,KC,CKC,AK,CKCC,,C,A,C,C,C,,CC,K,K,K,K,3,3,2,5,1,1,1,2,0,1,1,1,1,1,1,1,VC,CVC,CVC,CVCC,1,2,2,3,A,NF,F,2,achselzuckend,prima
ter,ø,r,er,ter,iter,liter,C,KC,CKC,LCKC,CLCKC,Ach,ø,A,Ac,Ach,Acht,Achte,K,KC,KCC,KCCK,KCCKC,7,11,12,11,3,3,6,3,1,light,schwa,light,schwa,c,c,o,c,KC,CKC,CL,CKC,,C,C,C,C,C,,C,K,K,L,K,3,3,2,3,1,1,0,1,0,1,1,1,1,1,2,1,VC,CVC,CVV,CVC,1,2,0,2,N,ø,T,2,Achtelliter,prima
te,ø,e,te,ote,note,lnote,K,CK,LCK,CLCK,CCLCK,Ach,ø,A,Ac,Ach,Acht,Achte,K,KC,KCC,KCCK,KCCKC,7,11,9,7,3,3,4,3,-1,light,schwa,light,schwa,c,c,o,o,KC,CKC,CL,CK,,C,C,C,C,C,,,K,K,L,K,3,3,2,2,1,1,0,0,0,1,1,1,1,1,2,1,VC,CVC,CVV,CV,1,2,0,1,N,NN,T,2,Achtelnote,prima
stig,ø,g,ig,tig,stig,astig,C,KC,CKC,CCKC,KCCKC,ach,ø,a,ac,ach,acht,achte,K,KC,KCC,KCCK,KCCKC,7,11,11,10,3,3,3,3,1,light,schwa,light,light,c,c,c,c,KC,CKC,CKC,CKC,,C,C,C,C,C,C,C,K,K,K,K,3,3,2,4,1,1,1,1,0,1,1,1,1,1,1,1,VC,CVC,CVC,CVC,1,2,2,2,A,AN,F,2,achterlastig,prima
ven,ø,n,en,ven,even,teven,C,KC,CKC,LCKC,CLCKC,Ach,ø,A,Ac,Ach,Acht,Achte,K,KC,KCC,KCCK,KCCKC,7,11,8,10,3,3,2,3,0,light,schwa,light,schwa,c,c,o,c,KC,CKC,CCL,CKC,,C,CC,C,C,C,,C,K,K,L,K,3,3,3,3,1,1,0,1,0,1,2,1,1,1,2,1,VC,CVC,CCVV,CVC,1,2,1,2,N,AN,T,2,Achtersteven,prima
tag,ø,g,ag,tag,ntag,entag,C,LC,CLC,CCLC,KCCLC,Acht,ø,A,Ac,Ach,Acht,Achts,K,KC,KCC,KCCC,KCCCC,8,13,10,12,2,3,3,4,1,heavy,light,schwa,light,c,c,c,c,KCC,CCKC,CKC,CLC,,CC,C,C,CC,C,C,C,K,K,K,L,4,4,3,3,2,1,1,1,0,2,1,1,1,1,1,2,VCC,CCVC,CVC,CVVC,2,3,2,1,N,ø,T,2,Achtstundentag,antepaenultima
folg,ø,g,lg,olg,folg,rfolg,C,CC,KCC,CKCC,CCKCC,Ach,ø,A,Ac,Ach,Acht,Achtu,K,KC,KCC,KCCK,KCCKC,7,13,10,12,3,3,5,3,1,light,heavy,light,heavy,c,c,c,c,KC,CKCC,KC,CKCC,,C,,C,C,CC,C,CC,K,K,K,K,3,5,2,4,1,2,1,2,0,1,0,1,1,1,1,1,VC,CVCC,VC,CVCC,1,3,1,3,N,NN,T,2,Achtungserfolg,prima
der,ø,r,er,der,nder,ender,C,KC,CKC,CCKC,KCCKC,Acht,ø,A,Ac,Ach,Acht,Achtz,K,KC,KCC,KCCA,KCCAL,8,10,9,11,2,3,4,3,0,heavy,light,light,schwa,c,c,c,c,KCC,ALC,KC,CKC,,A,,C,CC,C,C,C,K,L,K,K,4,3,3,3,2,1,1,1,0,1,0,1,1,2,1,1,VCC,CVVC,VC,CVC,2,1,1,2,N,ø,T,2,Achtzehnender,prima
rig,ø,g,ig,rig,hrig,ehrig,C,KC,CKC,LCKC,CLCKC,acht,ø,a,ac,ach,acht,achtz,K,KC,KCC,KCCA,KCCAL,8,10,12,13,2,3,6,4,1,heavy,light,light,light,c,c,o,c,KCC,ALC,CL,CKC,,A,C,C,CC,C,,C,K,L,L,K,4,4,3,3,2,1,0,1,0,1,1,1,1,2,2,1,VCC,CVVC,CVV,CVC,2,1,0,2,A,ø,F,2,achtzehnjaehrig,prima
rig,ø,g,ig,rig,hrig,ehrig,C,KC,CKC,LCKC,CLCKC,acht,ø,a,ac,ach,acht,achtz,K,KC,KCA,KCAK,KCAKC,7,10,12,13,3,3,6,4,2,light,light,light,light,c,c,o,c,KC,AKC,CL,CKC,,A,C,C,C,C,,C,K,K,L,K,4,3,3,3,1,1,0,1,0,1,1,1,1,1,2,1,VC,CVC,CVV,CVC,1,2,0,2,A,NN,F,2,achtzigjaehrig,prima
der,ø,r,er,der,nder,inder,C,KC,CKC,CCKC,KCCKC,Acht,ø,A,Ac,Ach,Acht,Achtz,K,KC,KCC,KCCA,KCCAL,8,9,15,11,2,4,5,3,1,heavy,light,light,schwa,c,o,c,c,KCC,AL,CKC,CKC,,A,C,C,CC,,C,C,K,L,K,K,4,2,3,3,2,0,1,1,0,1,1,1,1,2,1,1,VCC,CVV,CVC,CVC,2,0,2,2,N,ø,T,2,Achtzylinder,prima
