syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl0,syl1,syl2,syl3,syl4,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,nomen,sylcnt,stress_class
2,3,5,3,4,Ab,k2r,zungs,zei,chen,en,ab,N,NN,SAS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,DCKC,ADCKC,ø,VC,CVC,CVCC,CVV,CVC,1,2,3,0,2,1,1,2,0,1,0,1,1,1,1,1,1,1,2,1,2,101,111,1201,101,1101,2,3,2,3,2,1,KC,CKC,AKCC,AD,CKC,?,C,A,A,C,C,C,CC,?,C,K,K,K,D,K,1,1,2,1,0,T,5,prima
3,3,2,3,4,Lan,des,re,gie,rung,ung,ø,N,NN,SAS,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVC,CVV,CVV,CVC,2,2,0,0,2,1,1,0,0,1,1,1,1,1,1,1,1,2,2,1,2,1011,201,11,101,1011,3,2,3,3,3,-1,CKC,CKC,CL,CL,CKC,C,C,C,C,C,C,C,?,?,C,K,K,L,L,K,1,0,1,1,1,T,5,prima
2,3,2,2,3,Im,pul,si,vi,t1t,1t,ø,N,A,SA,ø,K,KC,KCC,KCCK,KCCKC,C,LC,CLC,LCLC,CLCLC,ø,VC,CVC,CVV,CVV,CVVC,1,2,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,2,2,2,1,1001,111,101,101,201,3,3,3,3,2,-1,KC,CKC,CL,CL,CLC,?,C,C,C,C,C,C,?,?,C,K,K,L,L,L,1,1,1,1,1,T,5,ultima
2,3,2,3,3,re,kul,ti,vie,ren,en,ø,V,V,AS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CVV,CVV,CVC,0,2,0,0,2,0,1,0,0,1,1,1,1,1,1,2,1,2,2,1,1,11,111,101,101,1011,3,3,3,3,3,1,CL,CKC,CL,CL,CKC,C,C,C,C,C,?,C,?,?,C,L,K,L,L,K,1,1,1,1,0,F,5,paenultima
2,3,3,3,3,In,sek,ten,pul,ver,er,ø,N,NN,SAS,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,CVC,CVC,1,2,2,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1001,201,1101,111,111,3,2,2,3,2,-1,KC,CKC,CKC,CKC,CKC,?,C,C,C,C,C,C,C,C,C,K,K,K,K,K,1,1,0,1,0,T,5,sekunda
2,1,2,3,3,Hi,e,ro,gly,phe,e,ø,N,ø,ø,ø,C,CL,CLL,CLLC,CLLCL,K,CK,LCK,CLCK,CCLCK,ø,CVV,VV,CVV,CCVV,CV,0,0,0,1,1,0,0,0,0,0,1,0,1,2,1,2,2,2,2,1,0,101,1,11,111,101,3,4,3,3,2,1,CL,L,CL,CCL,CK,C,?,C,CC,C,?,?,?,?,?,L,L,L,L,K,1,1,1,1,0,T,5,paenultima
3,2,1,3,3,mis,si,o,nie,ren,en,ø,V,N,SA,ø,C,CK,CKC,CKCL,CKCLL,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,VV,CVV,CVC,2,0,0,0,2,1,0,0,0,1,1,1,0,1,1,1,2,2,2,1,1,1001,101,1,1001,1011,3,3,4,3,3,1,CK,CL,L,CL,CKC,C,C,?,C,C,?,?,?,?,C,K,L,L,L,K,1,1,1,1,0,F,5,paenultima
3,4,5,2,4,H3f,lich,keits,be,such,uch,ø,N,NN,SAS,ø,C,CL,CLC,CLCC,CLCCK,C,LC,CLC,KCLC,CKCLC,ø,CVVC,CVC,CVVC,CV,CVVC,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,2,1,2,2,201,111,201,101,201,2,3,2,2,2,-1,CLC,CKC,CDA,CK,CLC,C,C,C,C,C,C,C,A,?,C,L,K,D,K,L,1,1,1,0,1,T,5,prima
2,4,2,2,3,An,thro,po,ge,nie,ie,ø,N,N,S,ø,K,KC,KCC,KCCC,KCCCL,L,CL,LCL,CLCL,LCLCL,ø,VC,CCVV,CVV,CVV,CVV,1,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,2,2,2,2,1,1001,111,101,101,1001,3,2,2,2,3,-1,KC,CCL,CL,CL,CL,?,CC,C,C,C,C,?,?,?,?,K,L,L,L,L,1,1,1,1,1,T,5,ultima
1,2,2,2,3,e,va,lu,ie,ren,en,ø,V,ø,ø,ø,L,LC,LCK,LCKC,LCKCL,C,KC,CKC,LCKC,LLCKC,ø,VV,CVC,CVV,VV,CVC,0,2,0,0,2,0,1,0,0,1,0,1,1,0,1,2,1,2,2,1,0,1,101,11,1,1011,4,2,4,5,3,1,L,CK,CL,L,CKC,?,C,C,?,C,?,?,?,?,C,L,K,L,L,K,1,1,1,1,0,F,5,paenultima
3,2,1,3,3,Sur,re,a,lis,mus,us,ø,N,N,AS,ø,C,CK,CKC,CKCL,CKCLK,C,KC,CKC,CCKC,KCCKC,noacc,CVC,CVV,VC,CVC,CVC,2,0,1,2,2,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,101,11,1,111,1101,3,3,4,3,2,1,CK,CL,K,CKC,CKC,C,C,?,C,C,?,?,?,C,C,K,L,K,K,K,1,1,1,1,1,T,5,paenultima
3,4,2,2,2,Kon,stel,la,ti,on,on,ø,N,R,SA,ø,C,CK,CKC,CKCC,CKCCC,C,LC,LLC,ALLC,KALLC,ø,CVC,CCVC,CVC,CVV,VVC,2,3,2,0,0,1,1,1,0,1,1,2,1,1,0,1,1,1,2,2,1,1101,201,11,101,1001,2,2,3,3,3,-1,CKC,CCK,CK,AL,LC,C,CC,C,A,?,C,?,?,?,C,K,K,K,L,L,1,1,1,1,1,T,5,ultima
2,4,2,3,3,Ge,mein,ei,gen,tum,um,ø,N,AN,SS,ø,C,CK,CKC,CKCD,CKCDC,C,LC,CLC,CCLC,KCCLC,noacc,CV,CVVC,VV,CVC,CVVC,1,1,0,2,1,0,1,0,1,1,1,1,0,1,1,1,2,2,1,2,2,101,2001,1,1101,1101,2,3,6,2,2,1,CK,CDC,D,CKC,CLC,C,C,?,C,C,?,C,?,C,C,K,D,D,K,L,0,1,1,0,1,T,5,sekunda
3,2,2,2,2,Kor,re,la,ti,on,on,ø,N,N,AS,ø,C,CK,CKC,CKCL,CKCLC,C,LC,LLC,ALLC,KALLC,ø,CVC,CVV,CVC,CVV,VVC,2,0,2,0,0,1,0,1,0,1,1,1,1,1,0,1,2,1,2,2,1,101,11,11,101,1001,2,3,3,3,3,1,CK,CL,CK,AL,LC,C,C,C,A,?,?,?,?,?,C,K,L,K,L,L,1,1,1,1,1,T,5,ultima
1,3,3,4,4,2,ber,emp,find,lich,ich,ueber,A,ø,SS,acc,L,LC,LCK,LCKC,LCKCK,C,KC,CKC,CCKC,CCCKC,noacc,VV,CVC,VC,CVCC,CVC,0,2,1,3,2,0,1,1,2,1,0,1,0,1,1,2,1,1,1,1,2,1,111,1001,1201,111,5,2,3,2,3,1,L,CKC,KC,AKCC,CKC,?,C,?,A,C,?,C,C,CC,C,L,K,K,K,K,1,0,1,2,1,F,5,prima
2,2,3,2,3,Mi,li,t1r,mu,sik,ik,ø,N,NN,SS,ø,C,CL,CLC,CLCL,CLCLC,C,LC,CLC,LCLC,CLCLC,ø,CVV,CVV,CVVC,CVV,CVVC,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,1001,11,111,1001,201,3,4,2,3,2,-1,CL,CL,CLC,CL,CLC,C,C,C,C,C,?,?,C,?,C,L,L,L,L,L,1,1,1,1,1,T,5,antepaenultima
2,3,3,3,2,Me,tho,den,leh,re,e,ø,N,NN,SAS,ø,C,CL,CLC,CLCL,CLCLC,K,CK,LCK,CLCK,CCLCK,ø,CVV,CVV,CVC,CVV,CV,0,0,2,0,1,0,0,1,0,0,1,1,1,1,1,2,2,1,2,1,2,1001,101,1101,11,11,3,2,2,3,3,-1,CL,CL,CKC,CL,CK,C,C,C,C,C,?,?,C,?,?,L,L,K,L,K,1,1,0,1,0,T,5,sekunda
2,2,2,3,3,F3,de,ra,lis,mus,us,ø,N,A,SA,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,CCKC,KCCKC,noacc,CVV,CV,CVV,CVC,CVC,0,1,0,2,2,0,0,0,1,1,1,1,1,1,1,2,1,2,1,1,1,101,101,11,111,1101,2,2,4,3,2,1,CL,CK,CL,CKC,CKC,C,C,C,C,C,?,?,?,C,C,L,K,L,K,K,1,0,1,1,1,T,5,paenultima
3,2,2,3,3,aus,ta,pe,zie,ren,en,aus,V,V,AS,acc,D,DC,DCC,DCCK,DCCKC,C,KC,CKC,LCKC,ALCKC,ø,VVC,CVC,CVV,CVV,CVC,0,2,0,0,2,1,1,0,0,1,0,1,1,1,1,2,1,2,2,1,1,101,101,101,101,1011,3,2,2,3,3,1,DC,CK,CL,AL,CKC,?,C,C,A,C,C,?,?,?,C,D,K,L,L,K,1,1,1,1,0,F,5,prima
1,3,3,3,3,A,mei,sen,hau,fen,en,ø,N,NN,SAS,ø,L,LC,LCD,LCDC,LCDCK,C,KC,CKC,DCKC,CDCKC,ø,VV,CVV,CVC,CVV,CVC,0,0,2,0,2,0,0,1,0,1,0,1,1,1,1,2,2,1,2,1,2,1,1001,1101,101,1101,6,4,2,3,2,1,L,CD,CKC,CD,CKC,?,C,C,C,C,?,?,C,?,C,L,D,K,D,K,1,1,0,1,0,T,5,prima
3,2,2,3,4,Rei,ne,ma,che,frau,au,ø,N,N,S,ø,C,CD,CDC,CDCK,CDCKC,D,CD,CCD,KCCD,CKCCD,ø,CVV,CV,CVC,CV,CCVV,0,1,2,1,1,0,0,1,0,0,1,1,1,1,2,2,1,1,1,2,1,11,1001,1001,101,111,4,3,3,2,3,-1,CD,CK,CK,CK,CCD,C,C,C,C,CC,?,?,?,?,?,D,K,K,K,D,1,0,1,0,1,T,5,prima
3,2,3,4,3,gut,un,ter,rich,tet,et,ø,A,ø,SS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,CCKC,KCCKC,ø,CVVC,VC,CVC,CVC,CVC,1,1,2,2,2,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,2,201,1001,111,111,201,2,3,2,3,2,-1,CLC,KC,CKC,CKC,CKC,C,?,C,C,C,C,C,C,C,C,L,K,K,K,K,1,1,0,1,0,F,5,prima
2,3,2,2,5,Re,gie,as,si,stent,ent,ø,N,NN,SS,ø,C,CL,CLC,CLCL,CLCLK,C,CC,KCC,CKCC,CCKCC,ø,CVV,CVV,VC,CVC,CVCC,0,0,1,2,3,0,0,1,1,2,1,1,0,1,1,2,2,1,1,1,2,11,101,1,201,1201,3,3,4,2,2,1,CL,CL,K,CKC,CKCC,C,C,?,C,C,?,?,?,C,CC,L,L,K,K,K,1,1,1,1,2,T,5,sekunda
3,3,3,3,3,Hin,und,her,fah,ren,en,ø,N,ø,ø,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,LCKC,CLCKC,ø,CVC,VCC,CVVC,CVV,CVC,2,2,1,0,2,1,2,1,0,1,1,0,1,1,1,1,1,2,2,1,0,1101,1101,111,101,1011,2,2,2,3,3,-1,CKC,KCC,CLC,CL,CKC,C,?,C,C,C,C,CC,C,?,C,K,K,L,L,K,1,2,1,1,0,T,5,paenultima
3,4,7,2,5,Vor,mund,schafts,ge,richt,icht,ø,N,NN,SAS,ø,C,CL,CLC,CLCC,CLCCK,C,CC,KCC,CKCC,KCKCC,ø,CVVC,CVCC,CVCC,CV,CVCC,1,3,3,1,3,1,2,2,0,2,1,1,1,1,1,2,1,1,1,1,2,111,2101,301,101,211,2,2,1,2,2,-1,CLC,CKCC,CKCA,CK,CKCC,C,C,C,C,C,C,CC,CA,?,CC,L,K,K,K,K,1,2,2,0,2,T,5,prima
3,2,3,2,5,lei,se,tre,te,risch,isch,ø,A,N,SA,ø,C,CD,CDC,CDCK,CDCKC,C,KC,CKC,KCKC,CKCKC,ø,CVV,CV,CCVV,CV,CVC,0,1,1,1,2,0,0,0,0,1,1,1,2,1,1,2,1,2,1,1,1,11,101,111,101,111,4,2,2,2,3,1,CD,CK,CCL,CK,CKC,C,C,CC,C,C,?,?,?,?,C,D,K,L,K,K,1,0,1,0,1,F,5,prima
2,3,2,2,3,Ta,ges,po,li,tik,ik,ø,N,NN,SAS,ø,C,CL,CLC,CLCK,CLCKC,C,LC,CLC,LCLC,CLCLC,noacc,CVV,CVC,CVV,CVV,CVVC,0,2,0,0,1,0,1,0,0,1,1,1,1,1,1,2,1,2,2,2,2,101,201,101,11,201,3,2,2,4,2,1,CL,CKC,CL,CL,CLC,C,C,C,C,C,?,C,?,?,C,L,K,L,L,L,1,0,1,1,1,T,5,prima
4,2,2,3,3,klas,si,fi,zie,ren,en,ø,V,R,SA,ø,C,CC,CCK,CCKC,CCKCL,C,KC,CKC,LCKC,ALCKC,ø,CCVC,CVV,CVV,CVV,CVC,3,0,0,0,2,1,0,0,0,1,2,1,1,1,1,1,2,2,2,1,1,111,101,101,101,1011,2,3,3,3,3,1,CCK,CL,CL,AL,CKC,CC,C,C,A,C,?,?,?,?,C,K,L,L,L,K,1,1,1,1,0,F,5,paenultima
5,2,4,2,4,Trieb,be,frie,di,gung,ung,ø,N,NV,ø,ø,C,CC,CCL,CCLC,CCLCC,C,KC,CKC,KCKC,CKCKC,ø,CCVVC,CV,CCVV,CVC,CVC,1,1,1,2,2,1,0,0,1,1,2,1,2,1,1,2,1,2,1,1,2,211,101,111,101,1101,2,2,3,3,2,1,CCLC,CK,CCL,CK,CKC,CC,C,CC,C,C,C,?,?,?,C,L,K,L,K,K,1,0,1,1,1,T,5,prima
1,2,3,3,3,a,li,men,tie,ren,en,ø,V,R,SA,ø,K,KC,KCL,KCLC,KCLCK,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVC,CVV,CVC,1,0,2,0,2,1,0,1,0,1,0,1,1,1,1,1,2,1,2,1,1,1,11,2001,101,1011,4,4,2,3,3,1,K,CL,CKC,CL,CKC,?,C,C,C,C,?,?,C,?,C,K,L,K,L,K,1,1,1,1,0,F,5,paenultima
2,2,2,2,3,Ma,ri,en,k1,fer,er,ø,N,ø,ø,ø,C,CK,CKC,CKCL,CKCLK,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,VC,CVV,CVC,2,0,1,0,2,1,0,1,0,1,1,1,0,1,1,1,2,1,2,1,0,1001,11,1001,101,111,3,4,3,2,2,-1,CK,CL,KC,CL,CKC,C,C,?,C,C,?,?,C,?,C,K,L,K,L,K,1,1,0,1,0,T,5,sekunda
3,2,3,2,3,ver,un,rei,ni,gen,en,ver,V,A,ø,noacc,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,noacc,CVC,VC,CVV,CVC,CVC,2,1,0,2,2,1,1,0,1,1,1,0,1,1,1,1,1,2,1,1,1,111,1001,11,1001,1101,2,3,4,3,2,1,CKC,KC,CD,CK,CKC,C,?,C,C,C,C,C,?,?,C,K,K,D,K,K,1,1,1,1,0,F,5,sekunda
4,2,2,2,2,Tran,si,to,ri,um,um,ø,N,N,SA,ø,C,CC,CCK,CCKC,CCKCC,C,KC,LKC,CLKC,LCLKC,ø,CCVC,CVV,CVV,CVV,VC,3,0,0,0,1,1,0,0,0,1,2,1,1,1,0,1,2,2,2,1,1,1111,101,101,11,1001,2,3,2,4,3,-1,CCKC,CL,CL,CL,KC,CC,C,C,C,?,C,?,?,?,C,K,L,L,L,K,1,1,1,1,1,T,5,antepaenultima
2,3,2,3,4,Me,tal,lo,gra,phie,ie,ø,N,N,SA,ø,C,CL,CLC,CLCK,CLCKC,L,CL,KCL,CKCL,CCKCL,ø,CVV,CVC,CVV,CCVC,CVV,0,2,0,3,0,0,1,0,1,0,1,1,1,2,1,2,1,2,1,2,1,1001,101,11,111,101,3,2,3,2,3,-1,CL,CK,CL,CCK,CL,C,C,C,CC,C,?,?,?,?,?,L,K,L,K,L,1,1,1,1,1,T,5,ultima
3,2,2,3,2,Pik,ko,lo,fl3,te,e,ø,N,NN,SS,ø,C,CK,CKC,CKCL,CKCLC,K,CK,LCK,CLCK,CCLCK,ø,CVC,CVV,CVV,CCVV,CV,2,0,0,1,1,1,0,0,0,0,1,1,1,2,1,1,2,2,2,1,2,101,101,11,111,101,3,2,3,2,2,1,CK,CL,CL,CCL,CK,C,C,C,CC,C,?,?,?,?,?,K,L,L,L,K,1,1,1,1,0,T,5,prima
2,3,3,3,5,Na,tur,far,ben,druck,uck,ø,N,AN,SS,ø,C,CK,CKC,CKCL,CKCLC,C,KC,CKC,CCKC,CCCKC,ø,CVC,CVVC,CVC,CVC,CCVC,2,1,2,2,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1001,111,111,1101,211,3,3,2,2,2,-1,CK,CLC,CKC,CKC,CCKC,C,C,C,C,CC,?,C,C,C,C,K,L,K,K,K,1,1,1,0,1,T,5,sekunda
2,2,2,2,2,Te,le,vi,si,on,on,ø,N,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,C,LC,LLC,CLLC,LCLLC,ø,CVV,CVV,CVV,CVV,VVC,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,2,2,2,0,101,11,101,101,1001,2,3,3,3,3,1,CL,CL,CL,CL,LC,C,C,C,C,?,?,?,?,?,C,L,L,L,L,L,1,1,1,1,1,T,5,ultima
4,3,4,3,3,Wech,sel,warm,bl2,ter,er,ø,N,VN,ø,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVC,CVCC,CCVV,CVC,2,2,3,1,2,1,1,2,0,1,1,1,1,2,1,1,1,1,2,1,2,201,111,1111,111,111,2,2,2,3,2,-1,CKC,CKC,CKCC,CCL,CKC,C,C,C,CC,C,C,C,CC,?,C,K,K,K,L,K,1,0,2,1,0,T,5,prima
2,5,2,3,4,Er,werbs,lo,sig,keit,eit,er,N,A,SAA,noacc,K,KC,KCC,KCCK,KCCKC,C,DC,CDC,CCDC,KCCDC,ø,VC,CVCCC,CVV,CVC,CVVC,1,4,0,2,1,1,3,0,1,1,0,1,1,1,1,1,1,2,1,2,1,11,311,11,201,201,3,2,3,2,2,1,KC,CKCCC,CL,CKC,CDC,?,C,C,C,C,C,CCC,?,C,C,K,K,L,K,D,1,2,1,1,1,T,5,sekunda
2,3,3,4,4,Un,per,s3n,lich,keit,eit,ø,N,A,SA,ø,K,KC,KCC,KCCK,KCCKC,C,DC,CDC,CCDC,KCCDC,ø,VC,CVC,CVVC,CVC,CVVC,1,2,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,2,1,1001,111,1101,111,201,3,2,2,3,2,-1,KC,CKC,CLC,CKC,CDC,?,C,C,C,C,C,C,C,C,C,K,K,L,K,D,1,1,1,1,1,T,5,prima
2,3,2,4,4,To,ten,be,stat,tung,ung,ø,N,NV,ø,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,KCKC,CKCKC,ø,CVV,CVC,CV,CCVC,CVC,0,2,1,3,2,0,1,0,1,1,1,1,1,2,1,2,1,1,1,1,2,101,1101,101,201,1101,2,2,2,2,2,1,CL,CKC,CK,CCK,CKC,C,C,C,CC,C,?,C,?,?,C,L,K,K,K,K,1,0,0,1,1,T,5,prima
2,4,3,3,4,un,heil,ver,k2n,dend,end,ø,A,ø,SS,ø,K,KC,KCC,KCCD,KCCDC,C,CC,KCC,CKCC,CCKCC,ø,VC,CVVC,CVC,CVC,CVCC,1,1,2,2,3,1,1,1,1,2,0,1,1,1,1,1,2,1,1,1,2,1001,111,111,1101,1201,3,3,2,2,2,1,KC,CDC,CKC,CKC,CKCC,?,C,C,C,C,C,C,C,C,CC,K,D,K,K,K,1,1,1,1,0,F,5,prima
2,2,2,2,6,f3,de,ra,li,stisch,isch,ø,A,A,SA,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,CCKC,KCCKC,ø,CVV,CV,CVC,CVC,CVC,0,1,2,2,2,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,101,101,11,111,201,2,2,3,3,2,1,CL,CK,CK,CKC,CKC,C,C,C,C,C,?,?,?,C,C,L,K,K,K,K,1,0,1,1,1,F,5,paenultima
3,2,3,4,3,her,un,ter,spie,len,en,ø,V,BV,SS,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVC,CVC,CCVV,CVC,2,2,2,1,2,1,1,1,0,1,1,1,1,2,1,1,1,1,2,1,2,101,1011,111,201,1011,2,3,2,2,3,1,CK,CKC,CKC,CCL,CKC,C,C,C,CC,C,?,C,C,?,C,K,K,K,L,K,1,1,0,1,0,F,5,sekunda
