syl_len0,syl_len1,syl0,syl1,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,cv_ratio0,cv_ratio1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,comp_len,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_class0,syl_class1,onset_class0,onset_class1,koda_class0,koda_class1,nucleus_class0,nucleus_class1,syl_weight0,syl_weight1,nomen,sylcnt,stress_class
1,2,O,pa,a,ø,N,N,S,ø,L,LC,LCL,ø,ø,L,CL,LCL,ø,ø,ø,VV,CVV,0,0,0,0,0,1,2,2,1,1,101,4,3,1,L,CL,?,C,?,?,L,L,1,1,T,2,paenultima
3,4,Sep,tett,ett,ø,N,ø,ø,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,0,201,201,2,2,0,CKC,CKC,C,C,C,C,K,K,1,1,T,2,ultima
3,4,zau,bern,ern,ø,V,N,S,ø,A,AD,ADC,ADCK,ADCKC,C,CC,KCC,CKCC,DCKCC,ø,CVV,CVCC,0,3,0,2,1,1,2,1,1,101,1111,3,2,1,AD,CKCC,A,C,?,CC,D,K,1,0,F,2,paenultima
4,4,frau,lich,ich,ø,A,N,SA,ø,C,CC,CCD,CCDC,CCDCK,C,KC,CKC,DCKC,CDCKC,noacc,CCVV,CVC,1,2,0,1,2,1,2,1,1,111,111,3,3,0,CCD,CKC,CC,C,?,C,D,K,1,1,F,2,paenultima
3,3,Pra,ter,er,ø,N,ø,ø,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,LCKC,CLCKC,ø,CCVV,CVC,1,2,0,1,2,1,2,1,0,111,111,3,2,0,CCL,CKC,CC,C,?,C,L,K,1,0,T,2,paenultima
3,4,Hut,band,and,ø,N,NN,SS,ø,C,CL,CLC,CLCC,CLCCK,C,CC,KCC,CKCC,CCKCC,ø,CVVC,CVCC,1,3,1,2,1,1,2,1,2,201,1201,2,2,1,CLC,CKCC,C,C,C,CC,L,K,1,2,T,2,paenultima
3,4,glu,cken,en,ø,V,V,S,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,KCKC,CKCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,111,1101,3,2,1,CCK,CKC,CC,C,?,C,K,K,1,0,F,2,paenultima
4,3,Kn2p,pel,el,ø,N,N,S,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,KCKC,CKCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,1101,111,2,2,-1,CCK,CKC,CC,C,?,C,K,K,1,0,T,2,paenultima
3,4,Gra,phik,ik,ø,N,R,SA,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,LCKC,CLCKC,noacc,CCVV,CVC,1,2,0,1,2,1,2,1,1,111,201,3,2,1,CCL,CKC,CC,C,?,C,L,K,1,1,T,2,paenultima
3,3,n1s,sen,en,ø,V,A,S,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,1001,1101,3,2,1,CK,CKC,C,C,?,C,K,K,1,0,F,2,paenultima
2,5,pi,ckeln,eln,ø,V,V,S,ø,C,CK,CKC,CKCK,CKCKC,C,CC,KCC,CKCC,KCKCC,ø,CVC,CVCC,2,3,1,2,1,1,1,1,1,101,1111,3,2,1,CK,CKCC,C,C,?,CC,K,K,1,0,F,2,paenultima
3,3,sin,ken,en,ø,V,V,S,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,1101,1101,2,2,0,CKC,CKC,C,C,C,C,K,K,1,0,F,2,paenultima
4,5,fr1n,kisch,isch,ø,A,N,SA,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,CCKC,KCCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,1111,201,2,2,-1,CCKC,CKC,CC,C,C,C,K,K,1,1,F,2,paenultima
4,4,keim,frei,ei,ø,A,N,SA,ø,C,CD,CDC,CDCC,CDCCC,D,CD,CCD,CCCD,DCCCD,ø,CVVC,CCVV,1,1,1,0,1,2,2,2,1,1101,111,3,3,-1,CDC,CCD,C,CC,C,?,D,D,1,1,F,2,paenultima
3,4,See,gras,as,ø,N,NN,SS,ø,C,CL,CLC,CLCC,CLCCL,C,LC,CLC,CCLC,LCCLC,ø,CVV,CCVVC,0,1,0,1,1,2,2,2,2,101,211,2,2,1,CL,CCLC,C,CC,?,C,L,L,1,1,T,2,paenultima
5,4,Quark,brot,ot,ø,N,NN,SS,ø,C,CC,CCK,CCKC,CCKCC,C,LC,CLC,CCLC,CCCLC,ø,CCVCC,CCVVC,4,1,2,1,2,2,1,2,2,311,211,2,2,-1,CCKCC,CCLC,CC,CC,CC,C,K,L,2,1,T,2,paenultima
3,3,mor,gen,en,ø,ADV,ø,S,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,1011,1101,3,2,1,CKC,CKC,C,C,C,C,K,K,1,0,F,2,paenultima
4,4,bild,lich,ich,ø,A,N,SA,ø,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,CCKC,CCCKC,noacc,CVCC,CVC,3,2,2,1,1,1,1,1,1,211,111,2,3,-1,CKCC,CKC,C,C,CC,C,K,K,2,1,F,2,paenultima
3,3,h1n,gen,en,ø,V,V,S,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,101,2001,2,2,1,CK,CKC,C,C,?,C,K,K,1,0,F,2,paenultima
2,4,ge,mach,ach,ø,ADV,V,AS,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CV,CVC,1,2,0,1,1,1,1,1,1,101,1101,2,2,1,CK,CKC,C,C,?,C,K,K,0,1,F,2,ultima
6,3,Staats,rat,at,ø,N,NN,SAS,ø,C,CC,CCL,CCLA,CCLAC,C,LC,CLC,ACLC,LACLC,ø,CCVVC,CVVC,1,1,1,1,2,1,2,2,2,301,111,2,3,-1,CCLA,CLC,CC,C,A,C,L,L,1,1,T,2,paenultima
3,3,K3n,nen,en,ø,N,F,S,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,101,2001,2,2,1,CK,CKC,C,C,?,C,K,K,1,0,T,2,paenultima
4,4,erst,mals,als,ø,ADV,ø,SSA,ø,L,LC,LCC,LCCC,LCCCC,C,CC,LCC,CLCC,CCLCC,ø,VVCCC,CVVCC,1,1,3,2,0,1,2,2,2,211,1111,2,3,1,LCCC,CLCC,?,C,CCC,CC,L,L,2,2,F,2,paenultima
3,2,Ree,de,e,ø,N,N,S,ø,C,CL,CLC,CLCK,ø,K,CK,LCK,CLCK,ø,ø,CVV,CV,0,1,0,0,1,1,2,1,1,11,101,3,2,1,CL,CK,C,C,?,?,L,K,1,0,T,2,paenultima
2,3,um,ri$,i$,um,N,N,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,1,2,1,1,0,1,1,1,1,1001,111,3,3,-1,KC,CKC,?,C,C,C,K,K,1,1,F,2,paenultima
3,4,Ver,deck,eck,ver,N,N,AS,noacc,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,111,201,2,2,1,CKC,CKC,C,C,C,C,K,K,1,1,T,2,ultima
3,3,woh,nen,en,ø,V,V,S,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,1,101,2001,2,2,1,CL,CKC,C,C,?,C,L,K,1,0,F,2,paenultima
4,5,Fr2h,st2ck,2ck,ø,N,AN,SS,ø,C,CC,CCL,CCLC,CCLCC,C,KC,CKC,CCKC,LCCKC,ø,CCVV,CCVC,1,3,0,1,2,2,2,1,2,111,301,3,2,1,CCL,CCKC,CC,CC,?,C,L,K,1,1,T,2,paenultima
6,4,Schlaf,saal,aal,ø,N,VN,SS,ø,C,CC,CCL,CCLC,CCLCC,C,LC,CLC,CCLC,LCCLC,ø,CCVVC,CVVC,1,1,1,1,2,1,2,2,2,211,111,2,3,-1,CCLC,CLC,CC,C,C,C,L,L,1,1,T,2,paenultima
5,4,trich,tern,ern,ø,V,V,S,ø,C,CC,CCK,CCKC,CCKCC,C,CC,KCC,CKCC,CCKCC,ø,CCVC,CVCC,3,3,1,2,2,1,1,1,1,211,1111,2,2,1,CCKC,CKCC,CC,C,C,CC,K,K,1,0,F,2,paenultima
3,3,rat,los,os,ø,A,N,SA,ø,C,CL,CLC,CLCC,CLCCL,C,LC,CLC,CCLC,LCCLC,ø,CVVC,CVVC,1,1,1,1,1,1,2,2,1,111,111,3,2,0,CLC,CLC,C,C,C,C,L,L,1,1,F,2,paenultima
4,3,stel,zen,en,ø,V,N,S,ø,C,CC,CCK,CCKC,CCKCA,C,KC,AKC,CAKC,KCAKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,211,1101,2,2,1,CCKC,AKC,CC,A,C,C,K,K,1,0,F,2,paenultima
3,5,ver,letzt,etzt,ø,A,F,S,ø,C,CK,CKC,CKCC,CKCCK,C,AC,KAC,CKAC,CCKAC,ø,CVC,CVCC,2,3,1,2,1,1,1,1,1,111,211,2,2,1,CKC,CKAC,C,C,C,AC,K,K,1,2,F,2,ultima
4,4,Spre,cher,er,ø,N,V,SA,ø,C,CC,CCC,CCCK,CCCKC,C,KC,CKC,KCKC,CKCKC,ø,CCCVC,CVC,4,2,1,1,3,1,1,1,1,211,111,2,2,-1,CCCK,CKC,CCC,C,?,C,K,K,1,0,T,2,paenultima
2,2,Ba,by,y,ø,N,N,S,ø,C,CL,CLC,CLCL,ø,L,CL,LCL,CLCL,ø,ø,CVV,CVV,0,0,0,0,1,1,2,2,1,101,101,2,3,0,CL,CL,C,C,?,?,L,L,1,1,T,2,paenultima
3,2,N1s,se,e,ø,N,A,SA,ø,C,CK,CKC,CKCK,ø,K,CK,KCK,CKCK,ø,ø,CVC,CV,2,1,1,0,1,1,1,1,1,1001,101,3,2,-1,CK,CK,C,C,?,?,K,K,1,0,T,2,paenultima
3,3,hol,zen,en,ø,V,N,S,ø,C,CK,CKC,CKCA,CKCAK,C,KC,AKC,CAKC,KCAKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,111,1101,2,2,1,CKC,AKC,C,A,C,C,K,K,1,0,F,2,paenultima
4,4,W2rm,lein,ein,ø,N,N,SA,ø,C,CK,CKC,CKCC,CKCCC,C,DC,CDC,CCDC,CCCDC,ø,CVCC,CVVC,3,1,2,1,1,1,1,2,1,1111,1011,2,3,-1,CKCC,CDC,C,C,CC,C,K,D,2,1,T,2,paenultima
3,3,tip,pen,en,ø,V,V,S,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,101,1101,3,2,1,CK,CKC,C,C,?,C,K,K,1,0,F,2,paenultima
5,5,Mords,durst,urst,ø,N,NN,SAS,ø,C,CK,CKC,CKCA,CKCAC,C,CC,CCC,KCCC,CKCCC,ø,CVCC,CVCCC,3,4,2,3,1,1,1,1,2,1111,311,2,2,-1,CKCA,CKCCC,C,C,CA,CCC,K,K,2,2,T,2,paenultima
3,3,gil,ben,en,ø,V,A,S,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,111,1101,3,2,1,CKC,CKC,C,C,C,C,K,K,1,0,F,2,paenultima
5,3,schau,mig,ig,ø,A,N,SA,ø,C,CD,CDC,CDCK,CDCKC,C,KC,CKC,DCKC,CDCKC,noacc,CVV,CVC,0,2,0,1,1,1,2,1,1,101,1101,3,2,1,CD,CKC,C,C,?,C,D,K,1,1,F,2,paenultima
3,4,Den,drit,it,ø,N,ø,ø,ø,C,CK,CKC,CKCC,CKCCC,C,LC,CLC,CCLC,CCCLC,ø,CVC,CCVVC,2,1,1,1,1,2,1,2,0,1101,211,2,2,-1,CKC,CCLC,C,CC,C,C,K,L,1,1,T,2,ultima
2,3,Ek,zem,em,ø,N,ø,ø,ø,L,LC,LCA,LCAL,LCALC,C,LC,ALC,CALC,LCALC,ø,VVC,CVVC,0,1,1,1,0,1,2,2,0,101,1101,2,2,1,LC,ALC,?,A,C,C,L,L,1,1,T,2,ultima
4,2,Glat,ze,e,ø,N,N,S,ø,C,CC,CCK,CCKA,CCKAK,K,AK,KAK,CKAK,CCKAK,ø,CCVC,CV,3,1,1,0,2,1,1,1,1,111,101,2,2,-1,CCK,AK,CC,A,?,?,K,K,1,0,T,2,paenultima
3,6,ent,spannt,annt,ø,A,F,S,ø,K,KC,KCC,KCCC,KCCCC,C,CC,KCC,CKCC,CCKCC,ø,VCC,CCVCC,2,4,2,2,0,2,1,1,1,1101,1301,2,1,1,KCC,CCKCC,?,CC,CC,CC,K,K,2,2,F,2,ultima
2,3,Bo,rat,at,ø,N,N,SA,ø,C,CL,CLC,CLCL,CLCLC,C,LC,CLC,LCLC,CLCLC,ø,CVV,CVVC,0,1,0,1,1,1,2,2,1,101,111,2,3,1,CL,CLC,C,C,?,C,L,L,1,1,T,2,ultima
4,4,Kapp,zaum,aum,ø,N,NN,SS,ø,C,CK,CKC,CKCA,CKCAD,C,DC,ADC,CADC,KCADC,ø,CVC,CVVC,2,1,1,1,1,1,1,2,2,201,1101,2,3,1,CKC,ADC,C,A,C,C,K,D,1,1,T,2,paenultima
4,3,Zeit,not,ot,ø,N,NN,SS,ø,A,AD,ADC,ADCC,ADCCL,C,LC,CLC,CCLC,DCCLC,ø,CVVC,CVVC,1,1,1,1,1,1,2,2,2,201,1101,2,2,1,ADC,CLC,A,C,C,C,D,L,1,1,T,2,paenultima
4,4,Weid,ling,ing,ø,N,N,SA,ø,C,CD,CDC,CDCC,CDCCK,C,KC,CKC,CCKC,DCCKC,noacc,CVVC,CVC,1,2,1,1,1,1,2,1,1,201,1011,2,3,1,CDC,CKC,C,C,C,C,D,K,1,1,T,2,paenultima
3,5,Kon,trast,ast,ø,N,N,S,ø,C,CK,CKC,CKCC,CKCCC,C,CC,KCC,CKCC,CCKCC,ø,CVC,CCVCC,2,4,1,2,1,2,1,1,1,1101,311,2,2,-1,CKC,CCKCC,C,CC,C,CC,K,K,1,2,T,2,ultima
3,5,Vor,blick,ick,vor,N,ø,SS,acc,C,CL,CLC,CLCC,CLCCC,C,KC,CKC,CCKC,CCCKC,ø,CVVC,CCVC,1,3,1,1,1,2,2,1,2,111,211,2,2,1,CLC,CCKC,C,CC,C,C,L,K,1,1,T,2,paenultima
2,4,So,pran,an,ø,N,N,S,ø,C,CL,CLC,CLCC,CLCCL,C,LC,CLC,CCLC,LCCLC,ø,CVV,CCVVC,0,1,0,1,1,2,2,2,1,101,1111,2,3,1,CL,CCLC,C,CC,?,C,L,L,1,1,T,2,ultima
3,3,Tan,dem,em,ø,N,ø,ø,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,0,1101,1101,2,2,0,CKC,CKC,C,C,C,C,K,K,1,1,T,2,paenultima
4,6,Raus,schmi$,i$,ø,N,V,S,ø,C,CD,CDC,CDCC,CDCCC,C,KC,CKC,CCKC,CCCKC,ø,CVVC,CCVC,1,3,1,1,1,2,2,1,1,111,1201,3,2,1,CDC,CCKC,C,CC,C,C,D,K,1,1,T,2,paenultima
4,6,Wett,streit,eit,ø,N,V,S,ø,C,CK,CKC,CKCC,CKCCC,C,DC,CDC,CCDC,CCCDC,ø,CVC,CCCVVC,2,2,1,1,1,3,1,2,1,201,311,2,2,1,CKC,CCCDC,C,CCC,C,C,K,D,1,1,T,2,paenultima
3,3,wil,lig,ig,ø,A,N,SA,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,noacc,CVC,CVC,2,2,1,1,1,1,1,1,1,101,111,3,3,1,CK,CKC,C,C,?,C,K,K,1,1,F,2,paenultima
3,5,auf,recht,echt,auf,A,A,AS,acc,D,DC,DCC,DCCK,DCCKC,C,CC,KCC,CKCC,CCKCC,ø,VVC,CVCC,0,3,1,2,0,1,2,1,1,101,211,3,2,1,DC,CKCC,?,C,C,CC,D,K,1,2,F,2,paenultima
4,3,blen,den,en,ø,V,A,S,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,CCKC,KCCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,1111,1101,2,2,-1,CCKC,CKC,CC,C,C,C,K,K,1,0,F,2,paenultima
6,4,Str1u$,chen,en,ø,N,N,SA,ø,C,CC,CCC,CCCD,CCCDC,C,KC,CKC,CCKC,DCCKC,ø,CCCVVC,CVC,2,2,1,1,3,1,2,1,1,311,1101,2,2,1,CCCDC,CKC,CCC,C,C,C,D,K,1,0,T,2,paenultima
3,3,kon,vex,ex,ø,A,A,S,ø,C,CK,CKC,CKCC,CKCCK,C,CC,KCC,CKCC,CCKCC,ø,CVC,CVCC,2,3,1,2,1,1,1,1,1,1101,301,2,1,-1,CKC,CKCC,C,C,C,CC,K,K,1,2,F,2,ultima
2,5,go,tisch,isch,ø,A,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,0,101,201,2,2,1,CL,CKC,C,C,?,C,L,K,1,1,F,2,paenultima
2,5,in,nerst,erst,ø,A,R,SA,ø,K,KC,KCK,KCKC,KCKCC,C,CC,CCC,KCCC,CKCCC,ø,VC,CVCCC,1,4,1,3,0,1,1,1,1,1,1211,5,2,1,K,CKCCC,?,C,?,CCC,K,K,1,0,F,2,paenultima
3,4,bau,lich,ich,ø,A,N,SA,ø,C,CD,CDC,CDCK,CDCKC,C,KC,CKC,DCKC,CDCKC,noacc,CVV,CVC,0,2,0,1,1,1,2,1,1,101,111,3,3,1,CD,CKC,C,C,?,C,D,K,1,1,F,2,paenultima
2,5,ab,seits,eits,ab,ø,N,AS,acc,K,KC,KCC,KCCD,KCCDA,A,DA,CDA,CCDA,KCCDA,ø,VC,CVVC,1,1,1,1,0,1,1,2,1,101,201,2,2,1,KC,CDA,?,C,C,A,K,D,1,1,F,2,paenultima
4,3,stem,men,en,ø,V,V,S,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,KCKC,CKCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,201,2001,2,2,1,CCK,CKC,CC,C,?,C,K,K,1,0,F,2,paenultima
4,3,klir,ren,en,ø,V,V,S,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,KCKC,CKCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,111,1011,3,3,1,CCK,CKC,CC,C,?,C,K,K,1,0,F,2,paenultima
5,4,Schwa,dron,on,ø,N,ø,ø,ø,C,CC,CCK,CCKC,CCKCC,C,LC,CLC,CCLC,KCCLC,ø,CCVC,CCVVC,3,1,1,1,2,2,1,2,0,201,1111,2,2,1,CCK,CCLC,CC,CC,?,C,K,L,1,1,T,2,ultima
3,3,Sta,tor,or,ø,N,R,SA,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,LCKC,CLCKC,ø,CCVV,CVC,1,2,0,1,2,1,2,1,1,201,111,2,2,-1,CCL,CKC,CC,C,?,C,L,K,1,1,T,2,paenultima
2,5,R3,stung,ung,ø,N,V,SA,ø,C,CL,CLC,CLCC,CLCCK,C,KC,CKC,CCKC,LCCKC,ø,CVVC,CVC,1,2,1,1,1,1,2,1,1,111,1101,2,2,1,CLC,CKC,C,C,C,C,L,K,1,1,T,2,paenultima
2,4,re,zent,ent,ø,A,A,S,ø,C,CL,CLA,CLAK,CLAKC,C,CC,KCC,AKCC,LAKCC,ø,CVV,CVCC,0,3,0,2,1,1,2,1,1,11,1201,3,2,1,CL,AKCC,C,A,?,CC,L,K,1,2,F,2,ultima
5,5,Blick,punkt,unkt,ø,N,VN,ø,ø,C,CC,CCK,CCKC,CCKCC,C,CC,CCC,KCCC,CKCCC,ø,CCVC,CVCCC,3,4,1,3,2,1,1,1,2,211,1301,2,2,1,CCKC,CKCCC,CC,C,C,CCC,K,K,1,2,T,2,paenultima
3,3,len,zen,en,ø,V,N,S,ø,C,CK,CKC,CKCA,CKCAK,C,KC,AKC,CAKC,KCAKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,1011,1101,3,2,1,CKC,AKC,C,A,C,C,K,K,1,0,F,2,paenultima
