stress_class,all_NN_classification,all_JRip_classification,all_J48_classification,numeric_NN_classification,numeric_JRip_classification,numeric__J48_classification,sparse_NN_classification,sparse_JRip_classification,sparse_J48_classification,suffixl_NN_classification,suffix_JRip_classification,suffixl_J48_classification,praefix_NN_classification,praefix_JRip_classification,praefix_J48_classification,affix_NN_classification,affix_JRip_classification,affix_J48_classification,sonority_NN_classification,sonority_JRip_classification,sonority_48_classification,weight_NN_classification,weight_JRip_classification,weight_J48_classification,phoncat_NN_classification,phoncat_JRip_classification,phoncat_J48_classification,phon_NN_classification,phon_JRip_classification,phon_J48_classification,sylstruct_NN_classification,sylstruct_JRip_classification,sylstruct_J48_classification,meta_NN_classification,meta_JRip_classification,meta_J48_classification
prima,prima,prima,sekunda,prima,prima,prima,prima,prima,sekunda,sekunda,paenultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,sekunda,prima,prima,prima,prima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,prima,prima
antepaenultima,prima,prima,sekunda,prima,prima,sekunda,prima,prima,sekunda,prima,ultima,prima,paenultima,prima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,ultima,prima,ultima,prima,prima,ultima,ultima,prima,prima,prima,prima,prima,prima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,ultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,ultima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,prima,paenultima,paenultima,prima,prima,paenultima,prima,ultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,ultima
ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,ultima,ultima,prima,prima,prima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,ultima,ultima,prima,ultima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,sekunda,paenultima,sekunda,prima,prima,prima,prima,prima,sekunda,prima,prima,prima,prima,prima,antepaenultima,prima,prima,prima,prima,paenultima,antepaenultima,prima,prima,antepaenultima,prima,prima,prima
sekunda,sekunda,prima,sekunda,sekunda,prima,prima,sekunda,prima,sekunda,sekunda,paenultima,prima,ultima,prima,sekunda,sekunda,prima,prima,antepaenultima,prima,prima,sekunda,prima,prima,sekunda,prima,paenultima,sekunda,paenultima,prima,prima,prima,prima,prima,prima,prima
prima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,ultima,ultima,ultima,paenultima,prima,prima,ultima,prima,ultima,ultima,prima,ultima,prima,prima,prima,ultima,ultima,ultima,prima,ultima,prima,ultima,prima,ultima,prima,prima,prima
sekunda,sekunda,prima,sekunda,paenultima,prima,prima,sekunda,prima,sekunda,paenultima,paenultima,prima,ultima,prima,sekunda,prima,prima,prima,paenultima,prima,antepaenultima,sekunda,prima,prima,prima,prima,antepaenultima,sekunda,paenultima,prima,prima,prima,prima,prima,prima,prima
antepaenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,antepaenultima,paenultima,prima,paenultima,paenultima,prima,antepaenultima,paenultima,prima,antepaenultima,paenultima,prima,paenultima,paenultima,prima,antepaenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,ultima,prima,ultima
prima,sekunda,prima,sekunda,sekunda,prima,sekunda,sekunda,prima,sekunda,prima,paenultima,prima,sekunda,prima,sekunda,sekunda,prima,prima,prima,prima,ultima,sekunda,prima,prima,sekunda,prima,prima,sekunda,paenultima,prima,sekunda,prima,prima,prima,prima,prima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,prima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
sekunda,sekunda,prima,antepaenultima,sekunda,prima,antepaenultima,sekunda,prima,antepaenultima,prima,paenultima,prima,sekunda,prima,sekunda,sekunda,prima,prima,prima,prima,ultima,sekunda,prima,paenultima,sekunda,prima,paenultima,sekunda,paenultima,prima,sekunda,prima,paenultima,prima,prima,prima
prima,sekunda,prima,sekunda,sekunda,prima,sekunda,sekunda,prima,sekunda,paenultima,paenultima,sekunda,sekunda,prima,sekunda,sekunda,prima,sekunda,ultima,prima,prima,sekunda,prima,ultima,paenultima,paenultima,paenultima,sekunda,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,prima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,ultima,ultima,paenultima,prima,prima,ultima,prima,ultima,paenultima,prima,prima,ultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,ultima,ultima,prima,ultima
sekunda,sekunda,prima,prima,sekunda,prima,prima,sekunda,prima,prima,prima,paenultima,sekunda,sekunda,prima,sekunda,sekunda,prima,sekunda,prima,prima,prima,sekunda,prima,prima,sekunda,prima,sekunda,sekunda,paenultima,prima,sekunda,prima,prima,prima,prima,prima
prima,ultima,prima,sekunda,ultima,prima,sekunda,ultima,prima,sekunda,ultima,ultima,ultima,prima,prima,prima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,ultima,prima,prima,prima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,paenultima,prima,paenultima,prima,prima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
paenultima,prima,prima,sekunda,sekunda,prima,sekunda,paenultima,prima,sekunda,antepaenultima,paenultima,prima,prima,prima,prima,prima,prima,prima,sekunda,paenultima,paenultima,paenultima,prima,ultima,paenultima,paenultima,sekunda,paenultima,paenultima,sekunda,prima,prima,prima,prima,prima,prima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,sekunda,sekunda,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,ultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,ultima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,ultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
sekunda,sekunda,prima,sekunda,sekunda,prima,prima,sekunda,prima,sekunda,prima,paenultima,prima,sekunda,prima,sekunda,sekunda,prima,prima,prima,prima,ultima,sekunda,prima,paenultima,sekunda,prima,paenultima,sekunda,paenultima,prima,prima,prima,paenultima,prima,prima,prima
prima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,sekunda,prima,sekunda,sekunda,prima,paenultima,paenultima,paenultima,paenultima,prima,prima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,paenultima,prima,paenultima
ultima,prima,prima,ultima,paenultima,prima,ultima,ultima,prima,ultima,ultima,ultima,sekunda,sekunda,prima,prima,prima,prima,sekunda,paenultima,prima,prima,paenultima,prima,ultima,prima,ultima,ultima,prima,ultima,prima,prima,prima,ultima,ultima,prima,ultima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,antepaenultima,prima,prima,paenultima,prima,prima,paenultima,paenultima,paenultima,paenultima,prima,ultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,ultima
sekunda,sekunda,prima,sekunda,prima,prima,sekunda,ultima,prima,sekunda,ultima,ultima,sekunda,ultima,prima,sekunda,ultima,prima,sekunda,prima,prima,prima,paenultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,ultima,prima,prima,prima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,prima,antepaenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
prima,prima,prima,paenultima,sekunda,paenultima,paenultima,prima,paenultima,paenultima,sekunda,paenultima,prima,prima,prima,prima,prima,prima,prima,antepaenultima,prima,antepaenultima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,prima,prima,prima,ultima,prima,ultima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,ultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,ultima
prima,prima,prima,sekunda,prima,prima,sekunda,prima,prima,sekunda,sekunda,paenultima,prima,paenultima,prima,prima,prima,prima,prima,prima,prima,paenultima,sekunda,prima,ultima,prima,prima,prima,prima,paenultima,prima,prima,paenultima,paenultima,prima,prima,prima
sekunda,sekunda,prima,sekunda,sekunda,prima,prima,sekunda,prima,sekunda,sekunda,paenultima,sekunda,sekunda,prima,sekunda,sekunda,prima,sekunda,prima,prima,ultima,sekunda,prima,prima,sekunda,prima,prima,sekunda,paenultima,prima,prima,prima,paenultima,prima,prima,prima
antepaenultima,prima,prima,sekunda,prima,prima,prima,prima,prima,sekunda,sekunda,paenultima,sekunda,antepaenultima,prima,prima,antepaenultima,prima,sekunda,prima,prima,prima,sekunda,prima,paenultima,sekunda,ultima,ultima,sekunda,ultima,prima,prima,prima,prima,prima,prima,prima
prima,ultima,prima,sekunda,ultima,prima,sekunda,ultima,prima,sekunda,antepaenultima,ultima,antepaenultima,prima,prima,prima,prima,prima,antepaenultima,ultima,prima,paenultima,paenultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,ultima,prima,prima,prima
sekunda,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,sekunda,paenultima,prima,paenultima,paenultima,paenultima,paenultima,ultima,prima,ultima,sekunda,prima,antepaenultima,prima,paenultima,prima,prima,paenultima,prima,paenultima,prima,paenultima
antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,antepaenultima,paenultima,paenultima,antepaenultima,prima,prima,prima,prima,prima,antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,paenultima,antepaenultima,antepaenultima,prima,antepaenultima,prima,prima,prima
sekunda,sekunda,prima,sekunda,prima,prima,sekunda,sekunda,prima,sekunda,sekunda,paenultima,sekunda,sekunda,prima,prima,sekunda,prima,sekunda,prima,paenultima,paenultima,sekunda,prima,ultima,sekunda,prima,sekunda,sekunda,paenultima,sekunda,sekunda,prima,prima,prima,prima,prima
antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,antepaenultima,sekunda,paenultima,sekunda,sekunda,prima,sekunda,sekunda,prima,sekunda,prima,prima,prima,ultima,prima,paenultima,antepaenultima,ultima,ultima,antepaenultima,ultima,ultima,antepaenultima,prima,paenultima,prima,prima,prima
prima,prima,prima,prima,prima,prima,sekunda,prima,prima,prima,ultima,ultima,ultima,paenultima,prima,prima,ultima,prima,ultima,prima,prima,prima,prima,prima,prima,ultima,ultima,prima,prima,ultima,ultima,ultima,prima,ultima,prima,prima,prima
prima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,sekunda,prima,prima,prima,paenultima,prima,sekunda,sekunda,prima,paenultima,paenultima,prima,prima,paenultima,prima,paenultima,paenultima,paenultima,prima,paenultima,prima,paenultima,paenultima,prima,paenultima
prima,sekunda,prima,antepaenultima,prima,prima,antepaenultima,ultima,prima,antepaenultima,sekunda,paenultima,sekunda,prima,prima,prima,prima,prima,sekunda,paenultima,prima,paenultima,ultima,prima,paenultima,sekunda,ultima,ultima,sekunda,ultima,ultima,sekunda,prima,prima,prima,prima,prima
sekunda,sekunda,prima,sekunda,prima,prima,prima,prima,prima,sekunda,ultima,ultima,sekunda,sekunda,prima,prima,prima,prima,sekunda,prima,prima,prima,sekunda,prima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,prima,prima,prima,prima,prima
sekunda,prima,prima,sekunda,prima,prima,sekunda,ultima,prima,sekunda,ultima,ultima,sekunda,prima,prima,prima,prima,prima,sekunda,prima,prima,ultima,ultima,prima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,prima,ultima,prima,prima,prima
ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,ultima,ultima,antepaenultima,prima,prima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,ultima,ultima,prima,ultima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,paenultima,paenultima,paenultima,prima,ultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,ultima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,antepaenultima,paenultima,ultima,paenultima,prima,prima,prima,prima,ultima,prima,paenultima,paenultima,prima,prima,prima,prima,prima,antepaenultima,prima,paenultima,prima,prima,prima,prima,prima,prima,prima
ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,ultima,ultima,sekunda,prima,sekunda,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,prima,ultima,prima,ultima,ultima,prima,ultima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,ultima,prima,prima,prima,sekunda,ultima,prima,prima,prima,prima,antepaenultima,prima,prima,prima,prima,ultima,ultima,prima,ultima,prima,prima,prima,ultima,prima,prima,prima
prima,prima,prima,antepaenultima,sekunda,prima,antepaenultima,prima,prima,antepaenultima,sekunda,paenultima,antepaenultima,sekunda,prima,prima,sekunda,prima,antepaenultima,prima,prima,paenultima,prima,prima,prima,sekunda,prima,prima,prima,paenultima,prima,sekunda,paenultima,paenultima,prima,prima,prima
sekunda,sekunda,prima,sekunda,sekunda,prima,sekunda,sekunda,prima,sekunda,sekunda,paenultima,prima,ultima,prima,sekunda,sekunda,prima,prima,prima,prima,prima,ultima,prima,ultima,sekunda,paenultima,paenultima,sekunda,paenultima,paenultima,sekunda,prima,prima,prima,prima,prima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,prima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,antepaenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
sekunda,prima,prima,antepaenultima,prima,prima,antepaenultima,sekunda,prima,antepaenultima,paenultima,paenultima,paenultima,prima,prima,prima,prima,prima,paenultima,prima,prima,paenultima,paenultima,prima,ultima,sekunda,prima,antepaenultima,sekunda,paenultima,prima,antepaenultima,paenultima,prima,prima,prima,prima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,paenultima,paenultima,prima,paenultima,paenultima,prima,paenultima,paenultima,prima,ultima,antepaenultima,prima,antepaenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,ultima,prima,ultima
prima,prima,prima,sekunda,prima,prima,sekunda,ultima,prima,sekunda,ultima,ultima,sekunda,prima,prima,prima,ultima,prima,sekunda,prima,prima,prima,ultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,prima,prima,prima,prima
antepaenultima,paenultima,prima,sekunda,paenultima,prima,sekunda,paenultima,prima,sekunda,paenultima,paenultima,antepaenultima,sekunda,prima,prima,paenultima,prima,antepaenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,prima,prima,prima,prima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,sekunda,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
prima,prima,prima,prima,antepaenultima,prima,prima,prima,prima,prima,prima,paenultima,prima,prima,prima,paenultima,prima,prima,prima,prima,prima,antepaenultima,antepaenultima,prima,antepaenultima,prima,prima,antepaenultima,prima,paenultima,antepaenultima,antepaenultima,prima,antepaenultima,prima,prima,prima
ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,ultima,sekunda,sekunda,prima,sekunda,ultima,prima,sekunda,paenultima,prima,prima,paenultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,ultima,ultima,prima,ultima
prima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,sekunda,paenultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,antepaenultima,prima,prima,prima,prima,paenultima,antepaenultima,prima,prima,antepaenultima,prima,prima,prima
paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,antepaenultima,prima,prima,paenultima,prima,prima,paenultima,paenultima,paenultima,paenultima,prima,ultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,ultima,prima,ultima
antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,antepaenultima,sekunda,paenultima,sekunda,ultima,prima,paenultima,ultima,prima,sekunda,prima,prima,antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,paenultima,paenultima,antepaenultima,paenultima,antepaenultima,antepaenultima,prima,antepaenultima,prima,prima,prima
ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,prima,ultima,ultima,ultima,sekunda,ultima,prima,paenultima,ultima,prima,sekunda,ultima,prima,ultima,prima,prima,prima,ultima,ultima,ultima,ultima,ultima,prima,ultima,prima,prima,ultima,prima,ultima
paenultima,sekunda,prima,sekunda,sekunda,prima,sekunda,sekunda,prima,sekunda,prima,paenultima,prima,sekunda,prima,sekunda,sekunda,prima,prima,antepaenultima,prima,prima,sekunda,prima,prima,sekunda,prima,paenultima,sekunda,paenultima,prima,prima,prima,prima,paenultima,prima,prima
