A	?\"a:
Abstellraums	?\"ap.StEl.r%aUms
Abstention	?aps.tEn.tsj\"o:n
Abstieg	?\"ap.Sti:k
Abstiege	?\"ap.Sti:.g@
Abstiegen	?\"ap.Sti:.g@n
Abstieges	?\"ap.Sti:.g@s
Abstiegs	?\"ap.Sti:ks
Abstimmkreis	?\"ap.StIm.kr%aIs
Abstimmkreise	?\"ap.StIm.kr%aI.z@
Abstimmkreisen	?\"ap.StIm.kr%aI.z@n
Abstimmkreises	?\"ap.StIm.kr%aI.z@s
Abstimmschärfe	?\"ap.StIm.S%E6.f@
Abstinent	?aps.ti:.n\"Ent
Abstinenz	?aps.ti:.n\"Ents
Abstinenzler	?aps.ti:.n\"Ents.l6
Abstinenzlern	?aps.ti:.n\"Ents.l6n
Abstinenzlers	?aps.ti:.n\"Ents.l6s
Abstoßung	?\"ap.Sto:.sUN
Abstract	?\"Eps.trEkt
Abstrakta	?ap.str\"ak.ta:
Abstraktion	?aps.trak.tsj\"o:n
Abstraktionen	?aps.trak.tsj\"o:.n@n
Abstumpfung	?\"ap.StUm.pfUN
Absurdität	?ap.zU6.di:.t\"E:t
Abszesse	?aps.ts\"E.s@
Abszessen	?aps.ts\"E.s@n
Abszesses	?aps.ts\"E.s@s
Abszeß	?aps.ts\"Es
Abszisine	?aps.tsi:.z\"i:.n@
Abszisse	?aps.ts\"I.s@
Abszissen	?aps.ts\"I.s@n
Abt	?\"apt
Abtast	?\"ap.tast
Abte	?\"ap.t@
Abtei	?ap.t\"aI
Abteien	?ap.t\"aI.@n
Abteil	?ap.t\"aIl
Abteile	?ap.t\"aI.l@
Abteilen	?\"ap.taI.l@n
Abteiles	?ap.t\"aI.l@s
Abteils	?ap.t\"aIls
Abteilung	?ap.t\"aI.lUN
Abteilungen	?\"ap.taI.lU.N@n
Abteilungs	?ap.t\"aI.lUNs
Abtes	?\"ap.t@s
Abtrag	?\"ap.tra:k
Abtrage	?\"ap.tra:.g@
Abtrages	?\"ap.tra:.g@s
Abtrags	?\"ap.tra:ks
Abts	?\"apts
Abulie	?a.bu:.l\"i:
Abulien	?a.bu:.l\"i:.@n
Abundanz	?a.bUn.d\"ants
Abwasch	?\"ap.vaS
Abwasche	?\"ap.va.S@
Abwasches	?\"ap.va.S@s
Abwaschs	?\"ap.vaSs
Abweg	?\"ap.ve:k
Abwege	?\"ap.ve:.g@
Abwegen	?\"ap.ve:.g@n
Abweges	?\"ap.ve:.g@s
Abwegigkeit	?\"ap.ve:.gIC.kaIt
Abwegigkeiten	?\"ap.ve:.gIC.kaI.t@n
Abwegs	?\"ap.ve:ks
Abweichung	?\"ap.vaI.CUN
Abweichungen	?\"ap.vaI.CU.N@n
Abwesenden	?\"ap.ve:.z@n.d@n
Abyssus	?a.p\"Y.sUs
Abziehbild	?\"ap.tsi:.b%Ilt
Abziehbilde	?\"ap.tsi:.b%Il.d@
Abziehbilder	?\"ap.tsi:.b%Il.d6
Abziehbildern	?\"ap.tsi:.b%Il.d6n
Abziehbildes	?\"ap.tsi:.b%Il.d@s
Abziehbilds	?\"ap.tsi:.b%Ilts
Abzirkelung	?\"ap.tsI6.k@.lUN
Abzirkelungen	?\"ap.tsI6.k@.lU.N@n
Abzirklung	?\"ap.tsI6.klUN
Abzweigung	?\"apts.vaI.gUN
Abzweigungen	?\"apts.vaI.gU.N@n
Abzählreim	?\"ap.tsE:l.r%aIm
Abzählvers	?\"ap.tsE:l.f%E6s
Acajoubaum	?a.ka.Z\"u:.b%aUm
Accessoire	?a.sE.s\"wa:
Accessoires	?a.sE.s\"wa:s
Account	?@.k\"aUnt
Acetat	?a.tse:.t\"a:t
Acetimeter	?a.tse:.ti:.m\"e:.t6
Aceton	?a.tse:.t\"o:n
Acetons	?a.tse:.t\"o:ns
Acetonämie	?a.tse:.t%o:n.?E.m\"i:
Acetophenon	?a:.tse:.to:.fe:.n\"o:n
Acetyl	?a.tse:.t\"y:l
Acetylen	?a.tse:.ty:.l\"e:n
Acetylenid	?a:.tse:.ty:.le:.n\"i:t
Acetylenide	?a:.tse:.ty:.le:.n\"i:.d@
Acetylid	?a.tse:.ty:.l\"i:t
Acetylide	?a.tse:.ty:.l\"i:.d@
Achaia	?a.\"xa:.ja:
Achard	?a.S\"a:6
Acharnai	?a.\"xa6.naI
Acharnä	?a.\"xa6.nE:
Achat	?a.\"xa:t
Achate	?a.\"xa:.t@
Achaten	?a.\"xa:.t@n
Achates	?a.\"xa:.t@s
Achats	?a.\"xa:ts
Ache	?\"a:.x@
Achebe	?a.tS\"e:.b@
Acheloos	?a.xe:.l\"o:.Os
Acheron	?\"a.xe:.rOn
Acheuléen	?a.S9.le:.\"E~
Achill	?a.\"xi:l
Achilles	?a.\"xI.lEs
Achillesferse	?a.\"xI.l@s.f%E6.z@
Achillesfersen	?a.\"xI.l@s.f%E6.z@n
Achillessehne	?a.\"xI.l@s.z%e:.n@
Achillessehnen	?a.\"xI.l@s.z%e:.n@n
Achim	?\"a.xIm
Achior	?a.xi:.\"o:6
Achlorhydrie	?a.klo:6.hy:.dr\"i:
Achmed	?\"ax.mEt
Acholie	?a.xo:.l\"i:
Achondrit	?a.xOn.dr\"It
Achroit	?a.kro:.?\"It
Achromasie	?a.kro:.ma.z\"i:
Achromasien	?a.kro:.ma.z\"i:.@n
Achromat	?a.kro:.m\"a:t
Achromate	?a.kro:.m\"a:.t@
Achromaten	?a.kro:.m\"a:.t@n
Achromates	?a.kro:.m\"a:.t@s
Achromatin	?a.kro:.ma.t\"i:n
Achromatismus	?a.kro:.ma.t\"Is.mUs
Achromatopsie	?a:.kro:.ma.tOp.s\"i:
Achromatopsien	?a:.kro:.ma.tOp.s\"i:.@n
Achromats	?a.kro:.m\"a:ts
Achs	?\"aks
Achsbruch	?\"aks.br%Ux
Achsdruck	?\"aks.dr%Uk
Achsdrucke	?\"aks.dr%U.k@
Achsdruckes	?\"aks.dr%U.k@s
Achsdrucks	?\"aks.dr%Uks
Achse	?\"ak.s@
Achsel	?\"ak.s@l
Achseln	?\"ak.s@ln
Achsen	?\"ak.z@n
Achsenzylinder	?\"ak.s@n.tsy:.l%In.d6
Achsenzylindern	?\"ak.s@n.tsy:.l%In.d6n
Achsenzylinders	?\"ak.s@n.tsy:.l%In.d6s
Achskilometer	?\"aks.ki:.lo:.m%e:.t6
Achskilometern	?\"aks.ki:.lo:.m%e:.t6n
Achskilometers	?\"aks.ki:.lo:.m%e:.t6s
Achslager	?\"aks.l%a:.g6
Achslagern	?\"aks.l%a:.g6n
Achslagers	?\"aks.l%a:.g6s
Acht	?\"axt
Achtel	?\"ax.t@l
Achtelliter	?\"ax.t@l.l%i:.t6
Achtellitern	?\"ax.t@l.l%i:.t6n
Achtelliters	?\"ax.t@l.l%i:.t6s
Achten	?\"ax.t@n
Achtender	?\"axt.?%En.d6
Achter	?\"ax.t6
Achtern	?\"ax.t6n
Achters	?\"ax.t6s
Achtersteven	?\"ax.t6.St%e:.v@n
Achterstevens	?\"ax.t6.St%e:.v@ns
Achtflächner	?\"axt.fl%EC.n6
Achtklässler	?\"axt.kl%Es.l6
Achtlosigkeit	?\"axt.lo:.zIC.kaIt
Achtlosigkeiten	?\"axt.lo:.zIC.kaI.t@n
Achtsamkeit	?\"axt.za:m.kaIt
Achtuba	?\"ax.tu:.ba:
Achtung	?\"ax.tUN
Achtungen	?\"ax.tU.N@n
Achtzig	?\"ax.tsIC
Achtzigstel	?\"ax.tsICs.t@l
Achtzylindermotor	?\"axt.tsy:.l%In.d6.mo:.t%o:6
Achtzylindermotoren	?\"axt.tsy:.l%In.d6.mo:.t%o:.r@n
Achtzylindermotors	?\"axt.tsy:.l%In.d6.mo:.t%o:6s
Achylie	?a.xy:.l\"i:
Achylien	?a.xy:.l\"i:.@n
Achäer	?a.\"xE:.6
Achämenide	?a.xE.me:.n\"i:.d@
Achämeniden	?a.xE.me:.n\"i:.d@n
Achäne	?a.\"xE:.n@
Acid	?a.ts\"i:t
Acide	?a.ts\"i:.d@
Acidimetrie	?a:.tsi:.di:.me:.tr\"i:
Acidität	?a.tsi:.di:.t\"E:t
Acidophilusmilch	?a.tsi:.d\"o:.fi:.lUs.mIlC
Acidose	?a.tsi:.d\"o:.z@
Acidosen	?a.tsi:.d\"o:.z@n
Acidum	?\"a:.tsi:.dUm
Acis	?\"a:.tsIs
Acker	?\"a.k6
Ackers	?\"a.k6s
Acre	?\"e:.k6
Acres	?\"e:.k6s
Acryl	?a.kr\"y:l
Acrylat	?a.kry:.l\"a:t
Acrylharz	?a.kr\"y:l.h%a:6ts
Action	?\"Ek.tS@n
Adagio	?a.d\"a:.dZjo:
Adagios	?a.d\"a:.dZjo:s
Adalbert	?\"a:.dal.bE6t
Adam	?\"a:.dam
Adamastor	?a.da.m\"as.to:6
Adamit	?a.da.m\"i:t
Adamiten	?a.da.m\"i:.t@n
Adamsapfel	?\"a:.dams.?%a.pf@l
Adamsapfels	?\"a:.dams.?%a.pf@ls
Adamsit	?a.dam.z\"It
Adamskostüm	?\"a:.dams.kOs.t%y:m
Adaptation	?a.dap.ta.tsj\"o:n
Adaptationen	?a.dap.ta.tsj\"o:.n@n
Adapter	?a.d\"ap.t6
Adaptern	?a.d\"ap.t6n
Adapters	?a.d\"ap.t6s
Adaption	?a.dap.tsj\"o:n
Adaptor	?a.dap.t\"o:6
Addend	?a.d\"Ent
Addenda	?a.d\"En.da:
Addendum	?a.d\"En.dUm
Addendums	?a.d\"En.dUms
Adder	?\"E.d6
Addiator	?a.dj\"a:.to:6
Addiatoren	?a.dja.t\"o:.r@n
Addier	?a.d\"i:6
Addiermaschine	?a.d\"i:6.ma.S%i:.n@
Addiermaschinen	?a.d\"i:6.ma.S%i:.n@n
Addition	?a.di:.tsj\"o:n
Additionen	?a.di:.tsj\"o:.n@n
Additiv	?a.di:.t\"i:f
Additiven	?a.di:.t\"i:.v@n
Addukt	?a.d\"Ukt
Adduktion	?a.dUk.tsj\"o:n
Adduktionen	?a.dUk.tsj\"o:.n@n
Adduktor	?a.d\"Uk.to:6
Adduktoren	?a.dUk.t\"o:.r@n
Adduktors	?a.d\"Uk.to:6s
Ade	?a.d\"e:
Adel	?\"a:.d@l
Adele	?a.d\"e:.l@
Adelheid	?\"a:.d@l.haIt
Adelma	?a.d\"El.ma:
Adelphie	?a.dEl.f\"i:
Adelphogamie	?a:.dEl.fo:.ga.m\"i:
Adels	?\"a:.d@ls
Adelung	?\"a:.d@.lUN
Adelungen	?\"a:.d@.lU.N@n
Adenauer	?\"a:.d@.naU.6
Adenin	?a.de:.n\"i:n
Adenom	?a.de:.n\"o:m
Adenome	?a.de:.n\"o:.m@
Adenomen	?a.de:.n\"o:.m@n
Adenoms	?a.de:.n\"o:ms
Adenosin	?a.de:.no:.z\"i:n
Adept	?a.d\"Ept
Adepten	?a.d\"Ep.t@n
Ader	?\"a:.d6
Adern	?\"a:.d6n
Adhärens	?at.h\"E:.rEns
Adhärenz	?at.hE.r\"Ents
Adhärenzien	?at.hE.r\"En.tsj@n
Adhäsion	?at.hE.zj\"o:n
Adina	?a.d\"i:.na:
Adinol	?a.di:.n\"o:l
Adipinsäure	?a.di:.p\"i:n.z%OY.r@
Adipositas	?a.di:.p\"o:.zi:.tas
Aditi	?\"a:.di:.ti:
Aditjas	?\"a:.di:t.jas
Adjektion	?at.jEk.tsj\"o:n
Adjektiv	?\"at.jEk.ti:f
Adjektiva	?at.jEk.t\"i:.va:
Adjektiven	?\"at.jEk.ti:.v@n
Adjektivum	?at.jEk.t\"i:.vUm
Adjudikation	?at.ju:.di:.ka.tsj\"o:n
Adjudikationen	?at.ju:.di:.ka.tsj\"o:.n@n
Adjunkt	?at.j\"UNkt
Adjunkten	?at.j\"UNk.t@n
Adjunktion	?at.jUNk.tsj\"o:n
Adjustage	?at.jUs.t\"a:.Z@
Adjustagen	?at.jUs.t\"a:.Z@n
Adjustierung	?at.jUs.t\"i:.rUN
Adjustierungen	?at.jUs.t\"i:.rU.N@n
Adjutant	?at.ju:.t\"ant
Adjutanten	?at.ju:.t\"an.t@n
Adjutantur	?at.ju:.tan.t\"u:6
Adjutanturen	?at.ju:.tan.t\"u:.r@n
Adjuten	?at.j\"u:.t@n
Adjutum	?at.j\"u:.tUm
Adjutums	?at.j\"u:.tUms
Adler	?\"a:.dl6
Adlern	?\"a:.dl6n
Adlers	?\"a:.dl6s
Adlung	?\"a:.dlUN
Administration	?at.mi:.nIs.tra.tsj\"o:n
Administrationen	?at.mi:.nIs.tra.tsj\"o:.n@n
Administrator	?at.mi:.nIs.tr\"a:.to:6
Administratoren	?at.mi:.nIs.tra.t\"o:.r@n
Administrators	?at.mi:.nIs.tr\"a:.to:6s
Admiral	?at.mi:.r\"a:l
Admirale	?at.mi:.r\"a:.l@
Admiralen	?at.mi:.r\"a:.l@n
Admiralität	?at.mi:.ra.li:.t\"E:t
Admirals	?at.mi:.r\"a:ls
Admission	?at.mI.sj\"o:n
Admittanz	?at.mI.t\"ants
Admonition	?at.mo:.ni:.tsj\"o:n
Adnex	?at.n\"Eks
Adnexe	?at.n\"Ek.s@
Adnexen	?at.n\"Ek.s@n
Adnexes	?at.n\"Ek.s@s
Adobe	?a.d\"o:.b@
Adoben	?a.d\"o:.b@n
Adolar	?\"a:.do:.la:6
Adoleszenz	?a.do:.lEs.ts\"Ents
Adolf	?\"a:.dOlf
Adonis	?a.d\"o:.nIs
Adoption	?a.dOp.tsj\"o:n
Adoptionen	?a.dOp.tsj\"o:.n@n
Adoptiveltern	?a.dOp.t\"i:f.?%El.t6n
Adoptivkind	?a.dOp.t\"i:f.k%Int
Adoptivkinde	?a.dOp.t\"i:f.k%In.d@
Adoptivkinder	?a.dOp.t\"i:f.k%In.d6
Adoptivkindern	?a.dOp.t\"i:f.k%In.d6n
Adoptivkindes	?a.dOp.t\"i:f.k%In.d@s
Adoptivkinds	?a.dOp.t\"i:f.k%Ints
Adoration	?a.do:.ra.tsj\"o:n
Adorationen	?a.do:.ra.tsj\"o:.n@n
Adrenalin	?a.dre:.na.l\"i:n
Adrenalins	?a.dre:.na.l\"i:ns
Adress	?a.dr\"Es
Adressant	?a.drE.s\"ant
Adressanten	?a.drE.s\"an.t@n
Adressat	?a.drE.s\"a:t
Adressaten	?a.drE.s\"a:.t@n
Adresse	?a.dr\"E.s@
Adressen	?a.dr\"E.s@n
Adressieren	?a.drE.s\"i:.r@n
Adressiermaschine	?a.drE.s\"i:6.ma.S%i:.n@
Adressiermaschinen	?a.drE.s\"i:6.ma.S%i:.n@n
Adressierung	?a.drE.s\"i:.rUN
Adreßbuch	?a.dr\"Es.b%u:x
Adria	?\"a:.dri:.a
Adrian	?\"a:.dri:.a:n
Adriana	?a:.dri:.\"a:.na:
Adriane	?a.dri:.\"a:.n@
Adsorbat	?at.zO6.b\"a:t
Adsorbens	?at.z\"O6.bEns
Adsorbent	?at.zO6.b\"Ent
Adsorbentia	?at.zO6.b\"En.tsja:
Adsorbenzien	?at.zO6.b\"En.tsj@n
Adsorption	?at.zO6p.tsj\"o:n
Adsorptionen	?at.zO6p.tsj\"o:.n@n
Adstrat	?ats.tr\"a:t
Adstringens	?at.str\"IN.gEns
Adstringentia	?ats.trIN.g\"En.tsja:
Adstringenzien	?ats.trIN.g\"En.tsj@n
Adua	?\"a:.du:.a:
Adular	?a.du:.l\"a:6
Advance	?E.dv\"a:ns
