stress_class,classification_all_J48,error_all_J48,classification_all_JRip,error_all_JRip,classification_all_NN,error_all_NN,classification_phon_J48,error_phon_J48,classification_phon_JRip,error_phon_JRip,classification_phon_NN,error_phon_NN,classification_affix_J48,error_affix_J48,classification_affix_JRip,error_affix_JRip,classification_affix_NN,error_affix_NN,classification_sylstruct_J48,error_sylstruct_J48,classification_sylstruct_JRip,error_sylstruct_JRip,classification_sylstruct_NN,error_sylstruct_NN
prima,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,sekunda,yes
sekunda,prima,yes,prima,yes,prima,yes,ultima,yes,prima,yes,paenultima,yes,ultima,yes,prima,yes,paenultima,yes,prima,yes,prima,yes,prima,yes
prima,prima,no,prima,no,prima,no,undef,yes,prima,no,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
undef,prima,yes,prima,yes,prima,yes,undef,no,undef,no,undef,no,prima,yes,prima,yes,prima,yes,undef,no,prima,yes,undef,no
paenultima,ultima,yes,ultima,yes,ultima,yes,paenultima,no,paenultima,no,paenultima,no,sekunda,yes,prima,yes,paenultima,no,paenultima,no,prima,yes,paenultima,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
paenultima,ultima,yes,prima,yes,ultima,yes,paenultima,no,paenultima,no,paenultima,no,sekunda,yes,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
undef,ultima,yes,prima,yes,ultima,yes,paenultima,yes,paenultima,yes,undef,no,paenultima,yes,prima,yes,antepaenultima,yes,paenultima,yes,prima,yes,paenultima,yes
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
paenultima,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
prima,prima,no,prima,no,prima,no,prima,no,paenultima,yes,prima,no,antepaenultima,yes,prima,no,antepaenultima,yes,antepaenultima,yes,antepaenultima,yes,antepaenultima,yes
prima,prima,no,prima,no,prima,no,sekunda,yes,sekunda,yes,prima,no,antepaenultima,yes,prima,no,antepaenultima,yes,sekunda,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,sekunda,yes,ultima,yes,ultima,yes,ultima,yes,ultima,yes,sekunda,yes,prima,no,ultima,yes
undef,prima,yes,prima,yes,prima,yes,antepaenultima,yes,prima,yes,undef,no,paenultima,yes,prima,yes,prima,yes,prima,yes,prima,yes,undef,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
ultima,ultima,no,prima,yes,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
undef,ultima,yes,prima,yes,ultima,yes,paenultima,yes,paenultima,yes,undef,no,paenultima,yes,prima,yes,prima,yes,paenultima,yes,prima,yes,paenultima,yes
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
paenultima,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
multa,prima,yes,prima,yes,prima,yes,paenultima,yes,prima,yes,sekunda,yes,sekunda,yes,prima,yes,prima,yes,undef,yes,undef,yes,undef,yes
sekunda,prima,yes,prima,yes,prima,yes,undef,yes,undef,yes,sekunda,no,prima,yes,prima,yes,undef,yes,sekunda,no,prima,yes,sekunda,no
multa,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes
multa,undef,yes,prima,yes,undef,yes,prima,yes,undef,yes,multa,no,paenultima,yes,prima,yes,undef,yes,prima,yes,prima,yes,prima,yes
multa,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,multa,no,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,undef,yes
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
sekunda,prima,yes,prima,yes,prima,yes,prima,yes,sekunda,no,sekunda,no,undef,yes,prima,yes,undef,yes,paenultima,yes,prima,yes,paenultima,yes
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
multa,undef,yes,prima,yes,undef,yes,sekunda,yes,sekunda,yes,multa,no,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,paenultima,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
multa,undef,yes,prima,yes,undef,yes,paenultima,yes,paenultima,yes,multa,no,paenultima,yes,prima,yes,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes
multa,undef,yes,prima,yes,prima,yes,prima,yes,prima,yes,multa,no,paenultima,yes,paenultima,yes,paenultima,yes,undef,yes,paenultima,yes,prima,yes
undef,prima,yes,prima,yes,prima,yes,paenultima,yes,prima,yes,antepaenultima,yes,antepaenultima,yes,prima,yes,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes
ultima,ultima,no,prima,yes,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
antepaenultima,ultima,yes,prima,yes,ultima,yes,paenultima,yes,paenultima,yes,antepaenultima,no,paenultima,yes,prima,yes,antepaenultima,no,paenultima,yes,prima,yes,paenultima,yes
paenultima,ultima,yes,ultima,yes,ultima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,prima,yes,paenultima,no,paenultima,no,prima,yes,paenultima,no
paenultima,ultima,yes,ultima,yes,ultima,yes,paenultima,no,paenultima,no,paenultima,no,sekunda,yes,prima,yes,paenultima,no,paenultima,no,prima,yes,paenultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
antepaenultima,ultima,yes,ultima,yes,ultima,yes,paenultima,yes,prima,yes,antepaenultima,no,prima,yes,prima,yes,antepaenultima,no,paenultima,yes,prima,yes,undef,yes
antepaenultima,prima,yes,prima,yes,prima,yes,paenultima,yes,paenultima,yes,paenultima,yes,prima,yes,prima,yes,antepaenultima,no,prima,yes,undef,yes,paenultima,yes
antepaenultima,ultima,yes,prima,yes,ultima,yes,ultima,yes,prima,yes,antepaenultima,no,antepaenultima,no,prima,yes,antepaenultima,no,prima,yes,prima,yes,prima,yes
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,antepaenultima,yes,prima,no,undef,yes,prima,no,prima,no,prima,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,prima,yes,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
multa,multa,no,prima,yes,multa,no,undef,yes,prima,yes,multa,no,paenultima,yes,paenultima,yes,paenultima,yes,undef,yes,prima,yes,prima,yes
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,sekunda,yes,undef,yes,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,paenultima,yes
prima,sekunda,yes,prima,no,sekunda,yes,sekunda,yes,prima,no,prima,no,sekunda,yes,prima,no,prima,no,sekunda,yes,prima,no,sekunda,yes
prima,prima,no,prima,no,prima,no,paenultima,yes,prima,no,prima,no,paenultima,yes,prima,no,prima,no,sekunda,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,ultima,yes,prima,no,prima,no,ultima,yes,prima,no,prima,no,ultima,yes,prima,no
prima,prima,no,prima,no,prima,no,antepaenultima,yes,paenultima,yes,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,sekunda,yes
prima,sekunda,yes,prima,no,prima,no,antepaenultima,yes,paenultima,yes,prima,no,multa,yes,prima,no,prima,no,sekunda,yes,prima,no,sekunda,yes
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,paenultima,yes,prima,no,prima,no,sekunda,yes,prima,no,prima,no
antepaenultima,ultima,yes,prima,yes,ultima,yes,antepaenultima,no,prima,yes,antepaenultima,no,antepaenultima,no,prima,yes,antepaenultima,no,prima,yes,prima,yes,paenultima,yes
sekunda,prima,yes,prima,yes,prima,yes,prima,yes,sekunda,no,sekunda,no,ultima,yes,prima,yes,sekunda,no,sekunda,no,prima,yes,sekunda,no
prima,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,antepaenultima,yes,prima,no,prima,no,sekunda,yes,prima,no,sekunda,yes
paenultima,ultima,yes,prima,yes,ultima,yes,antepaenultima,yes,prima,yes,paenultima,no,paenultima,no,prima,yes,paenultima,no,undef,yes,undef,yes,paenultima,no
ultima,paenultima,yes,paenultima,yes,prima,yes,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
undef,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,undef,no,undef,no,prima,yes,undef,no,paenultima,yes,paenultima,yes,paenultima,yes
antepaenultima,ultima,yes,ultima,yes,ultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,antepaenultima,no,prima,yes,paenultima,yes,paenultima,yes,prima,yes,paenultima,yes
paenultima,paenultima,no,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
undef,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,undef,no,antepaenultima,yes,prima,yes,paenultima,yes,sekunda,yes,prima,yes,undef,no
paenultima,paenultima,no,paenultima,no,prima,yes,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
antepaenultima,ultima,yes,prima,yes,ultima,yes,paenultima,yes,prima,yes,antepaenultima,no,antepaenultima,no,prima,yes,paenultima,yes,prima,yes,prima,yes,prima,yes
antepaenultima,ultima,yes,prima,yes,ultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,antepaenultima,no,prima,yes,paenultima,yes,paenultima,yes,prima,yes,paenultima,yes
paenultima,ultima,yes,prima,yes,ultima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
prima,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,prima,no,antepaenultima,yes,antepaenultima,yes,prima,no
prima,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,antepaenultima,yes,prima,no,antepaenultima,yes,antepaenultima,yes,antepaenultima,yes,prima,no
antepaenultima,ultima,yes,ultima,yes,ultima,yes,paenultima,yes,paenultima,yes,antepaenultima,no,antepaenultima,no,prima,yes,antepaenultima,no,paenultima,yes,prima,yes,paenultima,yes
paenultima,ultima,yes,prima,yes,ultima,yes,prima,yes,prima,yes,ultima,yes,antepaenultima,yes,prima,yes,paenultima,no,prima,yes,ultima,yes,ultima,yes
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
undef,sekunda,yes,prima,yes,prima,yes,undef,no,undef,no,undef,no,sekunda,yes,prima,yes,sekunda,yes,undef,no,prima,yes,undef,no
undef,ultima,yes,prima,yes,prima,yes,prima,yes,undef,no,undef,no,prima,yes,prima,yes,antepaenultima,yes,prima,yes,prima,yes,undef,no
ultima,paenultima,yes,paenultima,yes,paenultima,yes,ultima,no,paenultima,yes,ultima,no,ultima,no,prima,yes,paenultima,yes,paenultima,yes,prima,yes,paenultima,yes
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
prima,prima,no,prima,no,prima,no,sekunda,yes,sekunda,yes,prima,no,paenultima,yes,prima,no,prima,no,sekunda,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,ultima,yes,prima,no,prima,no,prima,no,undef,yes,prima,no
ultima,ultima,no,prima,yes,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
undef,ultima,yes,prima,yes,ultima,yes,undef,no,undef,no,undef,no,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,prima,yes,paenultima,yes
antepaenultima,ultima,yes,ultima,yes,ultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,prima,yes,prima,yes,antepaenultima,no,paenultima,yes,prima,yes,paenultima,yes
undef,prima,yes,prima,yes,prima,yes,prima,yes,prima,yes,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
sekunda,prima,yes,prima,yes,prima,yes,prima,yes,sekunda,no,sekunda,no,prima,yes,prima,yes,sekunda,no,prima,yes,prima,yes,sekunda,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
sekunda,prima,yes,prima,yes,prima,yes,sekunda,no,sekunda,no,sekunda,no,ultima,yes,prima,yes,ultima,yes,undef,yes,prima,yes,prima,yes
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
paenultima,ultima,yes,prima,yes,ultima,yes,prima,yes,prima,yes,ultima,yes,ultima,yes,prima,yes,ultima,yes,ultima,yes,ultima,yes,ultima,yes
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
sekunda,prima,yes,prima,yes,prima,yes,sekunda,no,prima,yes,sekunda,no,prima,yes,prima,yes,prima,yes,sekunda,no,prima,yes,sekunda,no
ultima,prima,yes,prima,yes,prima,yes,antepaenultima,yes,prima,yes,ultima,no,ultima,no,prima,yes,ultima,no,prima,yes,prima,yes,paenultima,yes
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
prima,prima,no,prima,no,prima,no,undef,yes,undef,yes,undef,yes,antepaenultima,yes,prima,no,undef,yes,undef,yes,prima,no,undef,yes
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
prima,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,sekunda,yes,prima,no,prima,no,sekunda,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,paenultima,yes,paenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,paenultima,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,undef,yes,prima,no,antepaenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no
prima,paenultima,yes,paenultima,yes,paenultima,yes,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,prima,yes,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,undef,no,prima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,prima,yes,undef,no
undef,paenultima,yes,prima,yes,paenultima,yes,undef,no,undef,no,undef,no,antepaenultima,yes,prima,yes,undef,no,undef,no,prima,yes,undef,no
prima,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no
prima,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,prima,no,prima,no,prima,no,prima,no,paenultima,yes,paenultima,yes,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,antepaenultima,yes,prima,no,prima,no,paenultima,yes,paenultima,yes,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,sekunda,yes,sekunda,yes,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,antepaenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no
multa,paenultima,yes,paenultima,yes,prima,yes,paenultima,yes,paenultima,yes,multa,no,paenultima,yes,paenultima,yes,prima,yes,paenultima,yes,paenultima,yes,prima,yes
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,prima,yes
prima,ultima,yes,prima,no,ultima,yes,prima,no,prima,no,prima,no,ultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no
paenultima,paenultima,no,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
paenultima,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no
prima,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,antepaenultima,yes,prima,no,prima,no,sekunda,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,paenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no,paenultima,yes,prima,no,prima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
